dayofweek,home_team,score,away_team,home_goals,away_goals,result
Dom,Toluca,3–1,Veracruz,3,1,1
Dom,Lobos BUAP,2–1,UNAM,2,1,1
Sáb,León,3–0,Santos,3,0,1
Sáb,UANL,3–0,Pachuca,3,0,1
Sáb,Guadalajara,0–2,Monterrey,0,2,0
Lun,Puebla,1–0,Querétaro,1,0,1
Mar,América,1–3,Necaxa,1,3,0
Sáb,Pachuca,4–0,Tijuana,4,0,1
Vie,Veracruz,2–2,Santos,2,2,-1
Vie,Atlas,0–2,Cruz Azul,0,2,0
Dom,UNAM,2–2,Morelia,2,2,-1
Dom,Lobos BUAP,0–1,León,0,1,0
Sáb,América,1–0,Puebla,1,0,1
Sáb,Monterrey,1–1,UANL,1,1,-1
Sáb,Necaxa,1–1,Toluca,1,1,-1
Sáb,Querétaro,0–0,Guadalajara,0,0,-1
Sáb,Cruz Azul,4–1,Pachuca,4,1,1
Vie,Morelia,1–1,Lobos BUAP,1,1,-1
Vie,Puebla,1–0,UNAM,1,0,1
Dom,Toluca,2–0,Atlas,2,0,1
Sáb,Guadalajara,0–2,América,0,2,0
Sáb,Tijuana,1–0,Monterrey,1,0,1
Sáb,UANL,4–1,Querétaro,4,1,1
Dom,Santos,1–2,Necaxa,1,2,0
Dom,León,2–0,Veracruz,2,0,1
Sáb,Querétaro,1–0,Tijuana,1,0,1
Vie,Morelia,2–3,León,2,3,0
Vie,Atlas,1–0,Santos,1,0,1
Dom,UNAM,2–1,Guadalajara,2,1,1
Dom,Lobos BUAP,0–4,Puebla,0,4,0
Sáb,Pachuca,3–2,Toluca,3,2,1
Sáb,América,3–0,UANL,3,0,1
Sáb,Monterrey,2–2,Cruz Azul,2,2,-1
Sáb,Necaxa,2–0,Veracruz,2,0,1
Sáb,Cruz Azul,3–0,Querétaro,3,0,1
Vie,Veracruz,0–1,Atlas,0,1,0
Vie,Puebla,1–1,Morelia,1,1,-1
Dom,Toluca,5–1,Monterrey,5,1,1
Dom,Santos,0–0,Pachuca,0,0,-1
Sáb,UANL,2–0,UNAM,2,0,1
Sáb,León,2–1,Necaxa,2,1,1
Sáb,Tijuana,3–2,América,3,2,1
Sáb,Guadalajara,0–1,Lobos BUAP,0,1,0
Sáb,Querétaro,0–0,Toluca,0,0,-1
Vie,Puebla,0–3,León,0,3,0
Vie,Atlas,1–2,Necaxa,1,2,0
Dom,UNAM,1–0,Tijuana,1,0,1
Dom,Lobos BUAP,0–3,UANL,0,3,0
Dom,América,0–0,Cruz Azul,0,0,-1
Sáb,Pachuca,9–2,Veracruz,9,2,1
Sáb,Morelia,1–0,Guadalajara,1,0,1
Dom,Monterrey,4–0,Santos,4,0,1
Sáb,Necaxa,2–2,Pachuca,2,2,-1
Sáb,León,5–2,Atlas,5,2,1
Vie,Tijuana,1–2,Lobos BUAP,1,2,0
Vie,Veracruz,0–1,Monterrey,0,1,0
Dom,Toluca,3–2,América,3,2,1
Dom,Santos,2–1,Querétaro,2,1,1
Sáb,Cruz Azul,2–1,UNAM,2,1,1
Sáb,UANL,3–3,Morelia,3,3,-1
Sáb,Guadalajara,1–3,Puebla,1,3,0
Sáb,Pachuca,1–0,Atlas,1,0,1
Vie,Puebla,1–1,UANL,1,1,-1
Vie,Morelia,1–4,Tijuana,1,4,0
Dom,UNAM,2–2,Toluca,2,2,-1
Dom,Lobos BUAP,1–4,Cruz Azul,1,4,0
Dom,Querétaro,2–1,Veracruz,2,1,1
Sáb,América,1–0,Santos,1,0,1
Sáb,Monterrey,2–2,Necaxa,2,2,-1
Sáb,Guadalajara,2–1,León,2,1,1
Sáb,Cruz Azul,1–1,Morelia,1,1,-1
Vie,Veracruz,0–2,América,0,2,0
Dom,Toluca,4–0,Lobos BUAP,4,0,1
Dom,Atlas,2–0,Monterrey,2,0,1
Dom,Santos,5–2,UNAM,5,2,1
Sáb,UANL,2–1,Guadalajara,2,1,1
Sáb,León,2–1,Pachuca,2,1,1
Sáb,Tijuana,4–0,Puebla,4,0,1
Sáb,Necaxa,1–0,Querétaro,1,0,1
Mié,Pachuca,1–1,UANL,1,1,-1
Mié,Tijuana,1–3,León,1,3,0
Jue,Necaxa,1–0,Monterrey,1,0,1
Jue,América,3–1,Cruz Azul,3,1,1
Dom,Cruz Azul,1–0,América,1,0,1
Sáb,UANL,1–1,Pachuca,1,1,-1
Sáb,León,2–1,Tijuana,2,1,1
Dom,Monterrey,1–0,Necaxa,1,0,1
Mié,Monterrey,1–0,UANL,1,0,1
Jue,América,0–1,León,0,1,0
Sáb,UANL,1–0,Monterrey,1,0,1
Dom,León,0–1,América,0,1,0
Jue,UANL,1–0,León,1,0,1
Dom,León,0–0,UANL,0,0,-1
Sáb,Lobos BUAP,2–2,Santos,2,2,-1
Sáb,América,0–1,Querétaro,0,1,0
Vie,Morelia,0–0,Monterrey,0,0,-1
Vie,Tijuana,0–2,Cruz Azul,0,2,0
Dom,UNAM,1–0,Pachuca,1,0,1
Dom,Veracruz,0–2,Necaxa,0,2,0
Sáb,UANL,5–0,Puebla,5,0,1
Sáb,León,0–3,Atlas,0,3,0
Sáb,Guadalajara,0–0,Toluca,0,0,-1
Sáb,Cruz Azul,1–1,Guadalajara,1,1,-1
Sáb,Querétaro,0–4,Lobos BUAP,0,4,0
Vie,Puebla,1–1,Morelia,1,1,-1
Vie,Atlas,2–1,UNAM,2,1,1
Dom,Toluca,3–1,León,3,1,1
Dom,Santos,1–1,UANL,1,1,-1
Sáb,Monterrey,1–0,Veracruz,1,0,1
Sáb,Pachuca,0–2,América,0,2,0
Sáb,Necaxa,1–0,Tijuana,1,0,1
Sáb,Lobos BUAP,3–2,Pachuca,3,2,1
Vie,Morelia,1–1,Santos,1,1,-1
Vie,Tijuana,0–3,Monterrey,0,3,0
Dom,Toluca,3–2,Atlas,3,2,1
Dom,Veracruz,2–0,Puebla,2,0,1
Sáb,UANL,1–1,Querétaro,1,1,-1
Sáb,León,2–2,Cruz Azul,2,2,-1
Sáb,América,2–1,UNAM,2,1,1
Sáb,Guadalajara,2–2,Necaxa,2,2,-1
Sáb,Cruz Azul,0–0,Toluca,0,0,-1
Sáb,Querétaro,2–1,Morelia,2,1,1
Vie,Puebla,1–1,Tijuana,1,1,-1
Vie,Atlas,0–1,América,0,1,0
Dom,UNAM,2–0,Lobos BUAP,2,0,1
Dom,Santos,2–3,Veracruz,2,3,0
Sáb,Monterrey,4–1,Guadalajara,4,1,1
Sáb,Pachuca,2–1,UANL,2,1,1
Sáb,Necaxa,0–3,León,0,3,0
Sáb,Cruz Azul,2–1,Atlas,2,1,1
Sáb,Lobos BUAP,2–3,América,2,3,0
Vie,Tijuana,2–0,Santos,2,0,1
Vie,Morelia,1–2,Pachuca,1,2,0
Dom,Toluca,0–0,Necaxa,0,0,-1
Sáb,UANL,2–0,UNAM,2,0,1
Sáb,Veracruz,1–1,Querétaro,1,1,-1
Sáb,León,1–2,Monterrey,1,2,0
Sáb,Guadalajara,0–1,Puebla,0,1,0
Mar,Pachuca,4–1,Veracruz,4,1,1
Mar,Atlas,1–1,Lobos BUAP,1,1,-1
Mar,Querétaro,1–3,Tijuana,1,3,0
Mar,UNAM,1–2,Morelia,1,2,0
Mié,América,2–2,UANL,2,2,-1
Mié,Puebla,0–1,León,0,1,0
Mié,Santos,1–1,Guadalajara,1,1,-1
Mié,Monterrey,4–1,Toluca,4,1,1
Mié,Necaxa,1–1,Cruz Azul,1,1,-1
Sáb,Cruz Azul,1–1,Monterrey,1,1,-1
Vie,Tijuana,2–1,Pachuca,2,1,1
Dom,Toluca,2–1,Puebla,2,1,1
Dom,Veracruz,1–0,UNAM,1,0,1
Sáb,UANL,3–2,Lobos BUAP,3,2,1
Sáb,León,1–2,Santos,1,2,0
Sáb,Morelia,2–0,América,2,0,1
Sáb,Necaxa,2–1,Atlas,2,1,1
Sáb,Guadalajara,0–0,Querétaro,0,0,-1
Sáb,Querétaro,1–2,León,1,2,0
Sáb,Lobos BUAP,1–3,Morelia,1,3,0
Vie,Puebla,0–0,Cruz Azul,0,0,-1
Dom,UNAM,0–2,Tijuana,0,2,0
Dom,Santos,0–0,Toluca,0,0,-1
Sáb,Monterrey,1–0,Necaxa,1,0,1
Sáb,Pachuca,1–3,Guadalajara,1,3,0
Sáb,América,2–0,Veracruz,2,0,1
Sáb,Cruz Azul,2–1,Santos,2,1,1
Vie,Morelia,3–3,UANL,3,3,-1
Vie,Tijuana,1–1,América,1,1,-1
Dom,Toluca,3–2,Querétaro,3,2,1
Dom,Veracruz,0–1,Lobos BUAP,0,1,0
Sáb,Monterrey,2–1,Atlas,2,1,1
Sáb,León,3–1,Pachuca,3,1,1
Sáb,Necaxa,1–1,Puebla,1,1,-1
Sáb,Guadalajara,1–1,UNAM,1,1,-1
Mar,Guadalajara,1–2,Lobos BUAP,1,2,0
Mar,Puebla,1–2,Atlas,1,2,0
Mar,Tijuana,0–1,UANL,0,1,0
Mar,Veracruz,2–1,Morelia,2,1,1
Mié,León,2–1,América,2,1,1
Mié,Necaxa,1–0,Querétaro,1,0,1
Mié,Toluca,2–1,UNAM,2,1,1
Mié,Pachuca,4–0,Cruz Azul,4,0,1
Sáb,Querétaro,2–2,Monterrey,2,2,-1
Sáb,Lobos BUAP,0–3,León,0,3,0
Vie,Morelia,3–0,Tijuana,3,0,1
Vie,Atlas,2–0,Veracruz,2,0,1
Dom,UNAM,1–4,Cruz Azul,1,4,0
Dom,Santos,0–0,Puebla,0,0,-1
Sáb,UANL,1–0,Guadalajara,1,0,1
Sáb,Pachuca,0–0,Necaxa,0,0,-1
Sáb,Toluca,1–2,América,1,2,0
Mié,Toluca,3–1,Lobos BUAP,3,1,1
Sáb,Cruz Azul,1–3,América,1,3,0
Vie,Tijuana,0–0,Veracruz,0,0,-1
Vie,Puebla,2–2,Querétaro,2,2,-1
Dom,Santos,0–1,Atlas,0,1,0
Sáb,Monterrey,2–0,Pachuca,2,0,1
Sáb,León,1–0,UANL,1,0,1
Sáb,Necaxa,0–0,UNAM,0,0,-1
Sáb,Guadalajara,1–2,Morelia,1,2,0
Mar,Lobos BUAP,1–2,Tijuana,1,2,0
Mar,Querétaro,1–2,Cruz Azul,1,2,0
Mar,UANL,1–0,Veracruz,1,0,1
Mar,UNAM,2–0,León,2,0,1
Mar,Atlas,0–1,Morelia,0,1,0
Mié,Santos,3–2,Necaxa,3,2,1
Mié,Pachuca,2–2,Toluca,2,2,-1
Mié,América,2–1,Guadalajara,2,1,1
Mié,Puebla,2–0,Monterrey,2,0,1
Sáb,Lobos BUAP,3–0,Cruz Azul,3,0,1
Sáb,Querétaro,1–2,Santos,1,2,0
Vie,Morelia,0–0,León,0,0,-1
Vie,Atlas,1–0,Tijuana,1,0,1
Dom,UNAM,0–1,Monterrey,0,1,0
Sáb,UANL,3–0,Toluca,3,0,1
Sáb,Pachuca,1–0,Puebla,1,0,1
Sáb,América,0–1,Necaxa,0,1,0
Dom,Veracruz,2–3,Guadalajara,2,3,0
Sáb,Cruz Azul,1–2,UANL,1,2,0
Sáb,Querétaro,2–2,Atlas,2,2,-1
Vie,Puebla,3–0,UNAM,3,0,1
Dom,Toluca,0–1,Morelia,0,1,0
Sáb,Monterrey,2–0,América,2,0,1
Sáb,León,6–2,Veracruz,6,2,1
Sáb,Necaxa,5–0,Lobos BUAP,5,0,1
Sáb,Guadalajara,3–1,Tijuana,3,1,1
Dom,Santos,2–2,Pachuca,2,2,-1
Mié,Atlas,1–1,UANL,1,1,-1
Sáb,Lobos BUAP,2–1,Monterrey,2,1,1
Vie,Morelia,1–2,Cruz Azul,1,2,0
Vie,Tijuana,2–1,León,2,1,1
Dom,UNAM,2–2,Santos,2,2,-1
Sáb,Pachuca,0–1,Querétaro,0,1,0
Sáb,América,1–1,Puebla,1,1,-1
Sáb,Guadalajara,1–2,Atlas,1,2,0
Dom,UANL,1–0,Necaxa,1,0,1
Dom,Veracruz,0–1,Toluca,0,1,0
Jue,Monterrey,1–1,Santos,1,1,-1
Sáb,Querétaro,1–1,UNAM,1,1,-1
Sáb,Cruz Azul,1–0,Veracruz,1,0,1
Vie,Puebla,0–1,Lobos BUAP,0,1,0
Vie,Atlas,1–1,Pachuca,1,1,-1
Dom,Toluca,3–1,Tijuana,3,1,1
Sáb,Monterrey,2–0,UANL,2,0,1
Sáb,León,0–2,Guadalajara,0,2,0
Sáb,Necaxa,1–2,Morelia,1,2,0
Dom,Santos,0–1,América,0,1,0
Mié,Toluca,2–1,Morelia,2,1,1
Mié,León,1–1,UANL,1,1,-1
Jue,Cruz Azul,0–0,América,0,0,-1
Jue,Atlas,1–2,Monterrey,1,2,0
Sáb,UANL,1–1,León,1,1,-1
Sáb,Morelia,2–1,Toluca,2,1,1
Dom,Monterrey,4–1,Atlas,4,1,1
Dom,América,0–0,Cruz Azul,0,0,-1
Mié,América,0–1,UANL,0,1,0
Jue,Morelia,0–1,Monterrey,0,1,0
Sáb,UANL,3–0,América,3,0,1
Dom,Monterrey,4–0,Morelia,4,0,1
Jue,UANL,1–1,Monterrey,1,1,-1
Dom,Monterrey,1–2,UANL,1,2,0
Sáb,Cruz Azul,0–0,Tijuana,0,0,-1
Vie,Puebla,2–1,UANL,2,1,1
Vie,Atlas,1–2,León,1,2,0
Dom,Toluca,1–1,Guadalajara,1,1,-1
Sáb,Monterrey,1–1,Morelia,1,1,-1
Sáb,Pachuca,2–3,UNAM,2,3,0
Sáb,Necaxa,0–0,Veracruz,0,0,-1
Dom,Santos,4–2,Lobos BUAP,4,2,1
Dom,Querétaro,0–1,América,0,1,0
Sáb,América,2–2,Pachuca,2,2,-1
Sáb,Lobos BUAP,0–2,Querétaro,0,2,0
Vie,Tijuana,1–0,Necaxa,1,0,1
Vie,Morelia,1–0,Puebla,1,0,1
Dom,UNAM,3–1,Atlas,3,1,1
Sáb,UANL,2–1,Santos,2,1,1
Sáb,León,3–1,Toluca,3,1,1
Sáb,Guadalajara,1–3,Cruz Azul,1,3,0
Dom,Veracruz,0–2,Monterrey,0,2,0
Sáb,Cruz Azul,0–0,León,0,0,-1
Sáb,Querétaro,0–0,UANL,0,0,-1
Vie,Puebla,2–0,Veracruz,2,0,1
Vie,Atlas,1–3,Toluca,1,3,0
Dom,UNAM,0–0,América,0,0,-1
Sáb,Monterrey,0–0,Tijuana,0,0,-1
Sáb,Pachuca,3–1,Lobos BUAP,3,1,1
Sáb,Necaxa,1–3,Guadalajara,1,3,0
Dom,Santos,1–0,Morelia,1,0,1
Sáb,Lobos BUAP,1–1,UNAM,1,1,-1
Vie,Morelia,1–0,Querétaro,1,0,1
Vie,Tijuana,2–0,Puebla,2,0,1
Dom,Toluca,1–1,Cruz Azul,1,1,-1
Sáb,UANL,3–2,Pachuca,3,2,1
Sáb,León,0–4,Necaxa,0,4,0
Sáb,América,1–0,Atlas,1,0,1
Sáb,Guadalajara,1–2,Monterrey,1,2,0
Dom,Veracruz,1–1,Santos,1,1,-1
Sáb,Querétaro,0–1,Veracruz,0,1,0
Vie,Puebla,2–0,Guadalajara,2,0,1
Vie,Atlas,2–1,Cruz Azul,2,1,1
Dom,UNAM,2–0,UANL,2,0,1
Sáb,Santos,0–0,Tijuana,0,0,-1
Sáb,Monterrey,5–1,León,5,1,1
Sáb,Pachuca,2–3,Morelia,2,3,0
Sáb,América,5–1,Lobos BUAP,5,1,1
Sáb,Necaxa,0–0,Toluca,0,0,-1
Sáb,Lobos BUAP,3–1,Atlas,3,1,1
Sáb,Cruz Azul,0–2,Necaxa,0,2,0
Vie,Morelia,1–2,UNAM,1,2,0
Vie,Tijuana,0–2,Querétaro,0,2,0
Dom,Toluca,2–1,Monterrey,2,1,1
Sáb,UANL,1–1,América,1,1,-1
Sáb,León,2–1,Puebla,2,1,1
Sáb,Guadalajara,0–2,Santos,0,2,0
Dom,Veracruz,0–1,Pachuca,0,1,0
Mar,Atlas,1–1,Necaxa,1,1,-1
Mar,Lobos BUAP,0–0,UANL,0,0,-1
Mar,América,4–1,Morelia,4,1,1
Mié,Santos,5–1,León,5,1,1
Mié,Querétaro,2–2,Guadalajara,2,2,-1
Mié,Monterrey,2–2,Cruz Azul,2,2,-1
Mié,UNAM,1–2,Veracruz,1,2,0
Mié,Puebla,2–0,Toluca,2,0,1
Mié,Pachuca,2–0,Tijuana,2,0,1
Sáb,Cruz Azul,1–1,Puebla,1,1,-1
Vie,Morelia,2–1,Lobos BUAP,2,1,1
Dom,Toluca,2–0,Santos,2,0,1
Sáb,Tijuana,4–1,UNAM,4,1,1
Sáb,UANL,2–0,Atlas,2,0,1
Sáb,León,1–1,Querétaro,1,1,-1
Sáb,Necaxa,3–0,Monterrey,3,0,1
Sáb,Guadalajara,1–1,Pachuca,1,1,-1
Dom,Veracruz,1–1,América,1,1,-1
Sáb,Lobos BUAP,5–0,Veracruz,5,0,1
Sáb,Querétaro,0–2,Toluca,0,2,0
Vie,Atlas,0–1,Monterrey,0,1,0
Vie,Puebla,1–1,Necaxa,1,1,-1
Dom,UNAM,1–1,Guadalajara,1,1,-1
Sáb,UANL,2–1,Morelia,2,1,1
Sáb,Pachuca,2–1,León,2,1,1
Sáb,América,0–0,Tijuana,0,0,-1
Dom,Santos,2–0,Cruz Azul,2,0,1
Sáb,Cruz Azul,0–1,Querétaro,0,1,0
Vie,Tijuana,3–1,Lobos BUAP,3,1,1
Vie,Morelia,2–1,Atlas,2,1,1
Dom,Toluca,2–1,Pachuca,2,1,1
Sáb,Monterrey,1–3,Puebla,1,3,0
Sáb,León,3–0,UNAM,3,0,1
Sáb,Necaxa,1–2,Santos,1,2,0
Sáb,Guadalajara,1–1,América,1,1,-1
Dom,Veracruz,0–2,UANL,0,2,0
Sáb,Lobos BUAP,0–1,Guadalajara,0,1,0
Sáb,Querétaro,1–1,Necaxa,1,1,-1
Sáb,Cruz Azul,5–0,Pachuca,5,0,1
Vie,Morelia,2–0,Veracruz,2,0,1
Vie,Atlas,1–0,Puebla,1,0,1
Dom,UNAM,0–1,Toluca,0,1,0
Sáb,UANL,1–0,Tijuana,1,0,1
Sáb,América,2–0,León,2,0,1
Dom,Santos,3–2,Monterrey,3,2,1
Sáb,Cruz Azul,1–1,UNAM,1,1,-1
Vie,Tijuana,1–1,Morelia,1,1,-1
Vie,Puebla,0–1,Santos,0,1,0
Sáb,Monterrey,3–1,Querétaro,3,1,1
Sáb,León,2–2,Lobos BUAP,2,2,-1
Sáb,América,1–2,Toluca,1,2,0
Sáb,Necaxa,1–1,Pachuca,1,1,-1
Sáb,Guadalajara,0–0,UANL,0,0,-1
Dom,Veracruz,3–1,Atlas,3,1,1
Sáb,Lobos BUAP,1–2,Toluca,1,2,0
Sáb,Querétaro,2–1,Puebla,2,1,1
Vie,Morelia,1–2,Guadalajara,1,2,0
Vie,Atlas,3–2,Santos,3,2,1
Dom,UNAM,1–1,Necaxa,1,1,-1
Dom,Veracruz,1–0,Tijuana,1,0,1
Sáb,UANL,4–1,León,4,1,1
Sáb,Pachuca,1–2,Monterrey,1,2,0
Sáb,América,2–1,Cruz Azul,2,1,1
Sáb,Cruz Azul,1–0,Lobos BUAP,1,0,1
Vie,Puebla,2–6,Pachuca,2,6,0
Vie,Tijuana,2–2,Atlas,2,2,-1
Dom,Toluca,1–0,UANL,1,0,1
Dom,Santos,3–0,Querétaro,3,0,1
Sáb,Monterrey,2–1,UNAM,2,1,1
Sáb,León,2–3,Morelia,2,3,0
Sáb,Necaxa,1–1,América,1,1,-1
Sáb,Guadalajara,0–1,Veracruz,0,1,0
Sáb,Lobos BUAP,0–1,Necaxa,0,1,0
Vie,Tijuana,3–0,Guadalajara,3,0,1
Vie,Atlas,1–0,Querétaro,1,0,1
Dom,UNAM,4–2,Puebla,4,2,1
Dom,Veracruz,1–2,León,1,2,0
Sáb,UANL,2–2,Cruz Azul,2,2,-1
Sáb,Pachuca,3–1,Santos,3,1,1
Sáb,Morelia,0–1,Toluca,0,1,0
Sáb,América,0–0,Monterrey,0,0,-1
Sáb,Cruz Azul,2–0,Morelia,2,0,1
Sáb,Querétaro,0–0,Pachuca,0,0,-1
Vie,Puebla,3–1,América,3,1,1
Vie,Atlas,1–0,Guadalajara,1,0,1
Dom,Toluca,3–0,Veracruz,3,0,1
Dom,Santos,1–2,UNAM,1,2,0
Sáb,Monterrey,4–0,Lobos BUAP,4,0,1
Sáb,León,1–1,Tijuana,1,1,-1
Sáb,Necaxa,1–1,UANL,1,1,-1
Sáb,Lobos BUAP,0–1,Puebla,0,1,0
Vie,Morelia,2–2,Necaxa,2,2,-1
Vie,Tijuana,1–0,Toluca,1,0,1
Dom,UNAM,1–1,Querétaro,1,1,-1
Dom,Veracruz,1–2,Cruz Azul,1,2,0
Sáb,UANL,2–2,Monterrey,2,2,-1
Sáb,Pachuca,0–0,Atlas,0,0,-1
Sáb,América,1–0,Santos,1,0,1
Sáb,Guadalajara,0–2,León,0,2,0
Mié,UNAM,1–4,América,1,4,0
Mié,Tijuana,1–1,Monterrey,1,1,-1
Jue,UANL,2–0,Santos,2,0,1
Jue,Morelia,2–2,Toluca,2,2,-1
Dom,Toluca,2–2,Morelia,2,2,-1
Dom,Santos,2–0,UANL,2,0,1
Sáb,América,2–1,UNAM,2,1,1
Sáb,Monterrey,1–2,Tijuana,1,2,0
Jue,Tijuana,2–1,Toluca,2,1,1
Jue,Santos,4–1,América,4,1,1
Dom,Toluca,4–1,Tijuana,4,1,1
Dom,América,2–2,Santos,2,2,-1
Jue,Santos,2–1,Toluca,2,1,1
Dom,Toluca,1–1,Santos,1,1,-1
Sáb,Querétaro,2–0,Veracruz,2,0,1
Vie,Tijuana,2–0,Morelia,2,0,1
Dom,UNAM,1–0,Guadalajara,1,0,1
Dom,Santos,0–0,UANL,0,0,-1
Sáb,Atlas,1–1,Toluca,1,1,-1
Sáb,Monterrey,1–1,Puebla,1,1,-1
Sáb,Pachuca,5–1,León,5,1,1
Sáb,América,2–0,Chiapas,2,0,1
Sáb,Necaxa,0–0,Cruz Azul,0,0,-1
Sáb,Chiapas,0–2,Pachuca,0,2,0
Sáb,Cruz Azul,0–0,UNAM,0,0,-1
Vie,Veracruz,2–0,Santos,2,0,1
Dom,Puebla,3–2,Tijuana,3,2,1
Sáb,Morelia,2–2,Querétaro,2,2,-1
Sáb,UANL,0–0,Atlas,0,0,-1
Sáb,León,0–0,Necaxa,0,0,-1
Sáb,Guadalajara,1–0,Monterrey,1,0,1
Sáb,América,3–1,Toluca,3,1,1
Sáb,Querétaro,2–1,Puebla,2,1,1
Vie,Tijuana,4–0,Guadalajara,4,0,1
Dom,UNAM,1–0,León,1,0,1
Dom,Chiapas,1–0,Toluca,1,0,1
Dom,Santos,2–4,Morelia,2,4,0
Sáb,Atlas,1–0,Veracruz,1,0,1
Sáb,Monterrey,1–1,Cruz Azul,1,1,-1
Sáb,Pachuca,1–0,Necaxa,1,0,1
Sáb,América,0–3,UANL,0,3,0
Sáb,Cruz Azul,1–2,Tijuana,1,2,0
Dom,Toluca,2–0,Pachuca,2,0,1
Dom,Puebla,0–0,Santos,0,0,-1
Sáb,Morelia,3–2,Atlas,3,2,1
Sáb,UANL,1–0,Chiapas,1,0,1
Sáb,León,0–3,Monterrey,0,3,0
Sáb,Veracruz,2–4,América,2,4,0
Sáb,Necaxa,2–2,UNAM,2,2,-1
Sáb,Guadalajara,0–0,Querétaro,0,0,-1
Sáb,Querétaro,0–0,Cruz Azul,0,0,-1
Vie,Tijuana,2–0,León,2,0,1
Dom,Toluca,0–0,UANL,0,0,-1
Dom,Chiapas,1–1,Veracruz,1,1,-1
Dom,Santos,0–1,Guadalajara,0,1,0
Sáb,Monterrey,2–1,Necaxa,2,1,1
Sáb,Atlas,3–2,Puebla,3,2,1
Sáb,Pachuca,3–0,UNAM,3,0,1
Sáb,América,1–1,Morelia,1,1,-1
Sáb,Cruz Azul,3–1,Santos,3,1,1
