dayofweek,home_team,score,away_team,home_goals,away_goals,result,home_goals_total_home,away_goals_total_home,home_conceded_home,away_conceded_home,goalsScored_home,goalsConceded_home,home_goals_total_away,away_goals_total_away,home_conceded_away,away_conceded_away,goalsScored_away,goalsConceded_away
Sáb,Atlético,0–2,UNAM,0,2,0,109,106,136,150,215,286,294,206,204,301,500,505
Sáb,Pachuca,1–3,León,1,3,0,329,249,197,272,578,469,332,240,225,278,572,503
Vie,Puebla,1–3,Tijuana,1,3,0,242,188,242,271,430,513,247,160,200,308,407,508
Vie,Atlas,1–0,FC Juárez,1,0,1,198,201,207,268,399,475,96,71,107,145,167,252
Dom,Toluca,0–2,Querétaro,0,2,0,332,212,216,283,544,499,215,184,206,294,399,500
Dom,Santos,3–0,Guadalajara,3,0,1,321,220,214,297,541,511,233,212,204,222,445,426
Sáb,América,4–2,Monterrey,4,2,1,363,310,198,246,673,444,354,254,181,257,608,438
Sáb,Necaxa,0–0,Cruz Azul,0,0,-1,181,164,174,202,345,376,264,211,193,227,475,420
Sáb,UANL,4–2,Morelia,4,2,1,367,253,189,214,620,403,148,138,147,177,286,324
Vie,Morelia,0–1,Atlas,0,1,0,148,138,147,177,286,324,198,201,207,268,399,475
Vie,Veracruz,3–3,Pachuca,3,3,-1,109,69,138,191,178,329,329,249,197,272,578,469
Dom,UNAM,2–0,Necaxa,2,0,1,294,206,204,301,500,505,181,164,174,202,345,376
Dom,Atlético,1–0,Monterrey,1,0,1,109,106,136,150,215,286,354,254,181,257,608,438
Dom,Santos,3–0,FC Juárez,3,0,1,321,220,214,297,541,511,96,71,107,145,167,252
Sáb,León,0–0,América,0,0,-1,332,240,225,278,572,503,363,310,198,246,673,444
Sáb,Tijuana,1–1,Querétaro,1,1,-1,247,160,200,308,407,508,215,184,206,294,399,500
Sáb,Cruz Azul,1–1,Toluca,1,1,-1,264,211,193,227,475,420,332,212,216,283,544,499
Dom,Guadalajara,2–0,UANL,2,0,1,233,212,204,222,445,426,367,253,189,214,620,403
Sáb,Querétaro,3–0,Cruz Azul,3,0,1,215,184,206,294,399,500,264,211,193,227,475,420
Vie,Puebla,1–1,Guadalajara,1,1,-1,242,188,242,271,430,513,233,212,204,222,445,426
Vie,Atlas,1–2,Santos,1,2,0,198,201,207,268,399,475,321,220,214,297,541,511
Dom,UNAM,0–1,UANL,0,1,0,294,206,204,301,500,505,367,253,189,214,620,403
Sáb,América,3–1,Tijuana,3,1,1,363,310,198,246,673,444,247,160,200,308,407,508
Sáb,Pachuca,1–2,Morelia,1,2,0,329,249,197,272,578,469,148,138,147,177,286,324
Sáb,Necaxa,7–0,Veracruz,7,0,1,181,164,174,202,345,376,109,69,138,191,178,329
Sáb,Monterrey,3–2,León,3,2,1,354,254,181,257,608,438,332,240,225,278,572,503
Dom,FC Juárez,2–0,Toluca,2,0,1,96,71,107,145,167,252,332,212,216,283,544,499
Sáb,Cruz Azul,2–0,FC Juárez,2,0,1,264,211,193,227,475,420,96,71,107,145,167,252
Sáb,Querétaro,2–1,Pachuca,2,1,1,215,184,206,294,399,500,329,249,197,272,578,469
Vie,Morelia,0–1,Monterrey,0,1,0,148,138,147,177,286,324,354,254,181,257,608,438
Vie,Tijuana,1–0,UNAM,1,0,1,247,160,200,308,407,508,294,206,204,301,500,505
Vie,Veracruz,1–2,Atlas,1,2,0,109,69,138,191,178,329,198,201,207,268,399,475
Dom,Toluca,0–1,América,0,1,0,332,212,216,283,544,499,363,310,198,246,673,444
Dom,Santos,4–1,Puebla,4,1,1,321,220,214,297,541,511,242,188,242,271,430,513
Sáb,UANL,3–1,Necaxa,3,1,1,367,253,189,214,620,403,181,164,174,202,345,376
Sáb,Guadalajara,3–0,Atlético,3,0,1,233,212,204,222,445,426,109,106,136,150,215,286
Sáb,Atlético,1–1,UANL,1,1,-1,109,106,136,150,215,286,367,253,189,214,620,403
Vie,Puebla,0–4,Pachuca,0,4,0,242,188,242,271,430,513,329,249,197,272,578,469
Vie,Atlas,1–3,Cruz Azul,1,3,0,198,201,207,268,399,475,264,211,193,227,475,420
Dom,UNAM,2–0,Veracruz,2,0,1,294,206,204,301,500,505,109,69,138,191,178,329
Dom,Necaxa,3–0,Santos,3,0,1,181,164,174,202,345,376,321,220,214,297,541,511
Sáb,León,4–3,Guadalajara,4,3,1,332,240,225,278,572,503,233,212,204,222,445,426
Sáb,América,1–0,Morelia,1,0,1,363,310,198,246,673,444,148,138,147,177,286,324
Sáb,Monterrey,2–0,Toluca,2,0,1,354,254,181,257,608,438,332,212,216,283,544,499
Dom,FC Juárez,0–2,Querétaro,0,2,0,96,71,107,145,167,252,215,184,206,294,399,500
Sáb,Querétaro,0–4,León,0,4,0,215,184,206,294,399,500,332,240,225,278,572,503
Vie,Veracruz,1–2,Atlético,1,2,0,109,69,138,191,178,329,109,106,136,150,215,286
Vie,Morelia,2–0,UNAM,2,0,1,148,138,147,177,286,324,294,206,204,301,500,505
Vie,Santos,2–1,Monterrey,2,1,1,321,220,214,297,541,511,354,254,181,257,608,438
Dom,Toluca,2–0,Tijuana,2,0,1,332,212,216,283,544,499,247,160,200,308,407,508
Dom,Guadalajara,1–2,Necaxa,1,2,0,233,212,204,222,445,426,181,164,174,202,345,376
Sáb,Pachuca,3–1,Atlas,3,1,1,329,249,197,272,578,469,198,201,207,268,399,475
Sáb,Cruz Azul,1–1,Puebla,1,1,-1,264,211,193,227,475,420,242,188,242,271,430,513
Sáb,UANL,1–1,América,1,1,-1,367,253,189,214,620,403,363,310,198,246,673,444
Mar,Atlético,1–1,Morelia,1,1,-1,109,106,136,150,215,286,148,138,147,177,286,324
Mar,Atlas,1–1,UANL,1,1,-1,198,201,207,268,399,475,367,253,189,214,620,403
Mar,Veracruz,0–5,Querétaro,0,5,0,109,69,138,191,178,329,215,184,206,294,399,500
Mar,América,1–1,Pachuca,1,1,-1,363,310,198,246,673,444,329,249,197,272,578,469
Mié,León,2–2,Santos,2,2,-1,332,240,225,278,572,503,321,220,214,297,541,511
Mié,Tijuana,3–2,Cruz Azul,3,2,1,247,160,200,308,407,508,264,211,193,227,475,420
Mié,Necaxa,1–1,Toluca,1,1,-1,181,164,174,202,345,376,332,212,216,283,544,499
Jue,Puebla,2–1,FC Juárez,2,1,1,242,188,242,271,430,513,96,71,107,145,167,252
Jue,Monterrey,2–0,UNAM,2,0,1,354,254,181,257,608,438,294,206,204,301,500,505
Sáb,Necaxa,3–2,Tijuana,3,2,1,181,164,174,202,345,376,247,160,200,308,407,508
Vie,Morelia,1–0,Veracruz,1,0,1,148,138,147,177,286,324,109,69,138,191,178,329
Vie,Atlas,3–0,América,3,0,1,198,201,207,268,399,475,363,310,198,246,673,444
Dom,UNAM,2–1,Toluca,2,1,1,294,206,204,301,500,505,332,212,216,283,544,499
Dom,Querétaro,1–1,Puebla,1,1,-1,215,184,206,294,399,500,242,188,242,271,430,513
Sáb,Pachuca,0–2,Atlético,0,2,0,329,249,197,272,578,469,109,106,136,150,215,286
Sáb,UANL,1–1,León,1,1,-1,367,253,189,214,620,403,332,240,225,278,572,503
Sáb,Cruz Azul,1–1,Guadalajara,1,1,-1,264,211,193,227,475,420,233,212,204,222,445,426
Dom,FC Juárez,1–0,Monterrey,1,0,1,96,71,107,145,167,252,354,254,181,257,608,438
Sáb,Monterrey,0–2,Necaxa,0,2,0,354,254,181,257,608,438,181,164,174,202,345,376
Vie,Puebla,1–3,Atlético,1,3,0,242,188,242,271,430,513,109,106,136,150,215,286
Vie,Tijuana,1–1,UANL,1,1,-1,247,160,200,308,407,508,367,253,189,214,620,403
Vie,Veracruz,0–0,Cruz Azul,0,0,-1,109,69,138,191,178,329,264,211,193,227,475,420
Dom,Toluca,0–2,Morelia,0,2,0,332,212,216,283,544,499,148,138,147,177,286,324
Dom,Santos,2–2,Pachuca,2,2,-1,321,220,214,297,541,511,329,249,197,272,578,469
Sáb,León,3–1,FC Juárez,3,1,1,332,240,225,278,572,503,96,71,107,145,167,252
Sáb,Guadalajara,1–0,Atlas,1,0,1,233,212,204,222,445,426,198,201,207,268,399,475
Sáb,América,1–1,UNAM,1,1,-1,363,310,198,246,673,444,294,206,204,301,500,505
Sáb,Monterrey,3–2,Puebla,3,2,1,354,254,181,257,608,438,242,188,242,271,430,513
Sáb,Atlético,2–3,Santos,2,3,0,109,106,136,150,215,286,321,220,214,297,541,511
Sáb,Necaxa,2–4,León,2,4,0,181,164,174,202,345,376,332,240,225,278,572,503
Vie,Atlas,0–1,Toluca,0,1,0,198,201,207,268,399,475,332,212,216,283,544,499
Vie,Morelia,1–0,Guadalajara,1,0,1,148,138,147,177,286,324,233,212,204,222,445,426
Dom,UNAM,1–1,Cruz Azul,1,1,-1,294,206,204,301,500,505,264,211,193,227,475,420
Sáb,Pachuca,4–1,Tijuana,4,1,1,329,249,197,272,578,469,247,160,200,308,407,508
Sáb,América,2–2,Querétaro,2,2,-1,363,310,198,246,673,444,215,184,206,294,399,500
Dom,FC Juárez,2–0,Veracruz,2,0,1,96,71,107,145,167,252,109,69,138,191,178,329
Mar,Querétaro,1–2,Necaxa,1,2,0,215,184,206,294,399,500,181,164,174,202,345,376
Mar,UANL,0–1,Puebla,0,1,0,367,253,189,214,620,403,242,188,242,271,430,513
Mar,León,1–1,Atlas,1,1,-1,332,240,225,278,572,503,198,201,207,268,399,475
Mar,Guadalajara,2–4,Pachuca,2,4,0,233,212,204,222,445,426,329,249,197,272,578,469
Mié,FC Juárez,1–1,América,1,1,-1,96,71,107,145,167,252,363,310,198,246,673,444
Mié,Santos,5–0,Veracruz,5,0,1,321,220,214,297,541,511,109,69,138,191,178,329
Mié,Tijuana,3–2,Morelia,3,2,1,247,160,200,308,407,508,148,138,147,177,286,324
Mié,Cruz Azul,1–1,Monterrey,1,1,-1,264,211,193,227,475,420,354,254,181,257,608,438
Jue,Toluca,3–1,Atlético,3,1,1,332,212,216,283,544,499,109,106,136,150,215,286
Sáb,Pachuca,2–0,Cruz Azul,2,0,1,329,249,197,272,578,469,264,211,193,227,475,420
Vie,Puebla,2–1,León,2,1,1,242,188,242,271,430,513,332,240,225,278,572,503
Vie,Atlas,2–0,Querétaro,2,0,1,198,201,207,268,399,475,215,184,206,294,399,500
Dom,UNAM,2–0,Santos,2,0,1,294,206,204,301,500,505,321,220,214,297,541,511
Dom,Atlético,2–3,Tijuana,2,3,0,109,106,136,150,215,286,247,160,200,308,407,508
Sáb,Necaxa,0–0,FC Juárez,0,0,-1,181,164,174,202,345,376,96,71,107,145,167,252
Sáb,Monterrey,0–2,UANL,0,2,0,354,254,181,257,608,438,367,253,189,214,620,403
Sáb,América,4–1,Guadalajara,4,1,1,363,310,198,246,673,444,233,212,204,222,445,426
Dom,Veracruz,1–1,Toluca,1,1,-1,109,69,138,191,178,329,332,212,216,283,544,499
Sáb,León,1–1,Veracruz,1,1,-1,332,240,225,278,572,503,109,69,138,191,178,329
Vie,Morelia,2–3,Necaxa,2,3,0,148,138,147,177,286,324,181,164,174,202,345,376
Dom,Toluca,1–1,Puebla,1,1,-1,332,212,216,283,544,499,242,188,242,271,430,513
Dom,FC Juárez,1–2,Atlético,1,2,0,96,71,107,145,167,252,109,106,136,150,215,286
Sáb,Cruz Azul,5–2,América,5,2,1,264,211,193,227,475,420,363,310,198,246,673,444
Sáb,UANL,4–0,Santos,4,0,1,367,253,189,214,620,403,321,220,214,297,541,511
Sáb,Tijuana,2–2,Atlas,2,2,-1,247,160,200,308,407,508,198,201,207,268,399,475
Sáb,Guadalajara,1–1,UNAM,1,1,-1,233,212,204,222,445,426,294,206,204,301,500,505
Dom,Querétaro,2–1,Monterrey,2,1,1,215,184,206,294,399,500,354,254,181,257,608,438
Sáb,Cruz Azul,2–3,Morelia,2,3,0,264,211,193,227,475,420,148,138,147,177,286,324
Vie,Puebla,0–1,Atlas,0,1,0,242,188,242,271,430,513,198,201,207,268,399,475
Vie,Veracruz,1–3,UANL,1,3,0,109,69,138,191,178,329,367,253,189,214,620,403
Vie,Santos,4–1,Tijuana,4,1,1,321,220,214,297,541,511,247,160,200,308,407,508
Dom,UNAM,1–2,León,1,2,0,294,206,204,301,500,505,332,240,225,278,572,503
Dom,Atlético,0–2,Querétaro,0,2,0,109,106,136,150,215,286,215,184,206,294,399,500
Sáb,Pachuca,0–1,FC Juárez,0,1,0,329,249,197,272,578,469,96,71,107,145,167,252
Sáb,Necaxa,2–2,América,2,2,-1,181,164,174,202,345,376,363,310,198,246,673,444
Dom,Monterrey,1–1,Guadalajara,1,1,-1,354,254,181,257,608,438,233,212,204,222,445,426
Sáb,Querétaro,3–0,UNAM,3,0,1,215,184,206,294,399,500,294,206,204,301,500,505
Vie,Morelia,2–2,Santos,2,2,-1,148,138,147,177,286,324,321,220,214,297,541,511
Vie,Tijuana,2–0,Veracruz,2,0,1,247,160,200,308,407,508,109,69,138,191,178,329
Vie,Atlas,0–2,Necaxa,0,2,0,198,201,207,268,399,475,181,164,174,202,345,376
Dom,Toluca,2–0,Pachuca,2,0,1,332,212,216,283,544,499,329,249,197,272,578,469
Sáb,América,2–0,Puebla,2,0,1,363,310,198,246,673,444,242,188,242,271,430,513
Sáb,León,3–2,Atlético,3,2,1,332,240,225,278,572,503,109,106,136,150,215,286
Sáb,UANL,1–1,Cruz Azul,1,1,-1,367,253,189,214,620,403,264,211,193,227,475,420
Dom,FC Juárez,1–2,Guadalajara,1,2,0,96,71,107,145,167,252,233,212,204,222,445,426
Mar,Atlético,0–1,América,0,1,0,109,106,136,150,215,286,363,310,198,246,673,444
Mar,Veracruz,1–0,Puebla,1,0,1,109,69,138,191,178,329,242,188,242,271,430,513
Mar,Santos,1–0,Querétaro,1,0,1,321,220,214,297,541,511,215,184,206,294,399,500
Mar,UNAM,5–1,Atlas,5,1,1,294,206,204,301,500,505,198,201,207,268,399,475
Mié,Pachuca,2–3,Monterrey,2,3,0,329,249,197,272,578,469,354,254,181,257,608,438
Mié,UANL,1–0,Toluca,1,0,1,367,253,189,214,620,403,332,212,216,283,544,499
Mié,Guadalajara,0–1,Tijuana,0,1,0,233,212,204,222,445,426,247,160,200,308,407,508
Jue,Morelia,6–1,FC Juárez,6,1,1,148,138,147,177,286,324,96,71,107,145,167,252
Jue,Cruz Azul,1–0,León,1,0,1,264,211,193,227,475,420,332,240,225,278,572,503
Sáb,Querétaro,0–0,UANL,0,0,-1,215,184,206,294,399,500,367,253,189,214,620,403
Vie,Puebla,1–1,UNAM,1,1,-1,242,188,242,271,430,513,294,206,204,301,500,505
Vie,Atlas,1–2,Atlético,1,2,0,198,201,207,268,399,475,109,106,136,150,215,286
Dom,Toluca,1–3,Guadalajara,1,3,0,332,212,216,283,544,499,233,212,204,222,445,426
Sáb,América,1–2,Santos,1,2,0,363,310,198,246,673,444,321,220,214,297,541,511
Sáb,Monterrey,1–1,Veracruz,1,1,-1,354,254,181,257,608,438,109,69,138,191,178,329
Sáb,Necaxa,1–2,Pachuca,1,2,0,181,164,174,202,345,376,329,249,197,272,578,469
Dom,FC Juárez,3–0,Tijuana,3,0,1,96,71,107,145,167,252,247,160,200,308,407,508
Dom,León,1–1,Morelia,1,1,-1,332,240,225,278,572,503,148,138,147,177,286,324
Sáb,Atlético,0–2,Necaxa,0,2,0,109,106,136,150,215,286,181,164,174,202,345,376
Vie,Morelia,3–2,Puebla,3,2,1,148,138,147,177,286,324,242,188,242,271,430,513
Vie,Tijuana,0–4,Monterrey,0,4,0,247,160,200,308,407,508,354,254,181,257,608,438
Vie,Veracruz,0–5,América,0,5,0,109,69,138,191,178,329,363,310,198,246,673,444
Dom,UNAM,1–1,FC Juárez,1,1,-1,294,206,204,301,500,505,96,71,107,145,167,252
Sáb,UANL,0–0,Pachuca,0,0,-1,367,253,189,214,620,403,329,249,197,272,578,469
Sáb,León,4–0,Toluca,4,0,1,332,240,225,278,572,503,332,212,216,283,544,499
Sáb,Guadalajara,3–2,Querétaro,3,2,1,233,212,204,222,445,426,215,184,206,294,399,500
Dom,Santos,3–1,Cruz Azul,3,1,1,321,220,214,297,541,511,264,211,193,227,475,420
Sáb,Querétaro,3–1,Morelia,3,1,1,215,184,206,294,399,500,148,138,147,177,286,324
Vie,Puebla,3–0,Necaxa,3,0,1,242,188,242,271,430,513,181,164,174,202,345,376
Vie,Tijuana,1–2,León,1,2,0,247,160,200,308,407,508,332,240,225,278,572,503
Dom,Toluca,2–2,Santos,2,2,-1,332,212,216,283,544,499,321,220,214,297,541,511
Sáb,Monterrey,2–0,Atlas,2,0,1,354,254,181,257,608,438,198,201,207,268,399,475
Sáb,Cruz Azul,3–1,Atlético,3,1,1,264,211,193,227,475,420,109,106,136,150,215,286
Sáb,Guadalajara,3–1,Veracruz,3,1,1,233,212,204,222,445,426,109,69,138,191,178,329
Sáb,Pachuca,2–0,UNAM,2,0,1,329,249,197,272,578,469,294,206,204,301,500,505
Dom,FC Juárez,1–2,UANL,1,2,0,96,71,107,145,167,252,367,253,189,214,620,403
Mié,Morelia,3–3,León,3,3,-1,148,138,147,177,286,324,332,240,225,278,572,503
Mié,Necaxa,3–0,Querétaro,3,0,1,181,164,174,202,345,376,215,184,206,294,399,500
Jue,Monterrey,5–2,Santos,5,2,1,354,254,181,257,608,438,321,220,214,297,541,511
Jue,América,1–2,UANL,1,2,0,363,310,198,246,673,444,367,253,189,214,620,403
Sáb,León,1–2,Morelia,1,2,0,332,240,225,278,572,503,148,138,147,177,286,324
Sáb,Querétaro,2–3,Necaxa,2,3,0,215,184,206,294,399,500,181,164,174,202,345,376
Dom,Santos,1–1,Monterrey,1,1,-1,321,220,214,297,541,511,354,254,181,257,608,438
Dom,UANL,2–4,América,2,4,0,367,253,189,214,620,403,363,310,198,246,673,444
Mié,Monterrey,2–1,Necaxa,2,1,1,354,254,181,257,608,438,181,164,174,202,345,376
Jue,Morelia,2–0,América,2,0,1,148,138,147,177,286,324,363,310,198,246,673,444
Sáb,Necaxa,0–1,Monterrey,0,1,0,181,164,174,202,345,376,354,254,181,257,608,438
Dom,América,2–0,Morelia,2,0,1,363,310,198,246,673,444,148,138,147,177,286,324
Jue,Monterrey,2–1,América,2,1,1,354,254,181,257,608,438,363,310,198,246,673,444
Dom,América,2–1,Monterrey,2,1,1,363,310,198,246,673,444,354,254,181,257,608,438
Sáb,Cruz Azul,1–2,Atlas,1,2,0,264,211,193,227,475,420,198,201,207,268,399,475
Vie,Tijuana,2–1,Santos,2,1,1,247,160,200,308,407,508,321,220,214,297,541,511
Vie,Morelia,0–1,Toluca,0,1,0,148,138,147,177,286,324,332,212,216,283,544,499
Dom,UNAM,2–1,Pachuca,2,1,1,294,206,204,301,500,505,329,249,197,272,578,469
Sáb,León,3–1,Querétaro,3,1,1,332,240,225,278,572,503,215,184,206,294,399,500
Sáb,Guadalajara,2–0,FC Juárez,2,0,1,233,212,204,222,445,426,96,71,107,145,167,252
Sáb,UANL,0–0,Atlético,0,0,-1,367,253,189,214,620,403,109,106,136,150,215,286
Jue,FC Juárez,4–4,UNAM,4,4,-1,96,71,107,145,167,252,294,206,204,301,500,505
Sáb,Monterrey,2–2,Morelia,2,2,-1,354,254,181,257,608,438,148,138,147,177,286,324
Vie,Atlético,2–1,Cruz Azul,2,1,1,109,106,136,150,215,286,264,211,193,227,475,420
Vie,Atlas,0–1,Puebla,0,1,0,198,201,207,268,399,475,242,188,242,271,430,513
Dom,Toluca,2–3,Necaxa,2,3,0,332,212,216,283,544,499,181,164,174,202,345,376
Dom,Querétaro,3–0,Tijuana,3,0,1,215,184,206,294,399,500,247,160,200,308,407,508
Sáb,Pachuca,0–0,Guadalajara,0,0,-1,329,249,197,272,578,469,233,212,204,222,445,426
Sáb,América,1–0,UANL,1,0,1,363,310,198,246,673,444,367,253,189,214,620,403
Dom,Santos,3–2,León,3,2,1,321,220,214,297,541,511,332,240,225,278,572,503
Sáb,Cruz Azul,3–0,Santos,3,0,1,264,211,193,227,475,420,321,220,214,297,541,511
Vie,Tijuana,0–0,América,0,0,-1,247,160,200,308,407,508,363,310,198,246,673,444
Vie,Puebla,0–1,Querétaro,0,1,0,242,188,242,271,430,513,215,184,206,294,399,500
Dom,UNAM,1–0,Monterrey,1,0,1,294,206,204,301,500,505,354,254,181,257,608,438
Dom,Necaxa,1–1,Atlético,1,1,-1,181,164,174,202,345,376,109,106,136,150,215,286
Sáb,UANL,2–1,Atlas,2,1,1,367,253,189,214,620,403,198,201,207,268,399,475
Sáb,León,3–0,Pachuca,3,0,1,332,240,225,278,572,503,329,249,197,272,578,469
Sáb,Guadalajara,2–2,Toluca,2,2,-1,233,212,204,222,445,426,332,212,216,283,544,499
Dom,FC Juárez,3–0,Morelia,3,0,1,96,71,107,145,167,252,148,138,147,177,286,324
Sáb,Necaxa,2–0,Puebla,2,0,1,181,164,174,202,345,376,242,188,242,271,430,513
Sáb,Monterrey,1–2,Querétaro,1,2,0,354,254,181,257,608,438,215,184,206,294,399,500
Sáb,Morelia,1–2,León,1,2,0,148,138,147,177,286,324,332,240,225,278,572,503
Vie,Atlético,2–2,Guadalajara,2,2,-1,109,106,136,150,215,286,233,212,204,222,445,426
Vie,Atlas,2–1,Tijuana,2,1,1,198,201,207,268,399,475,247,160,200,308,407,508
Dom,Toluca,3–3,Cruz Azul,3,3,-1,332,212,216,283,544,499,264,211,193,227,475,420
Sáb,Pachuca,2–0,UANL,2,0,1,329,249,197,272,578,469,367,253,189,214,620,403
Sáb,América,1–3,FC Juárez,1,3,0,363,310,198,246,673,444,96,71,107,145,167,252
Sáb,Santos,1–1,UNAM,1,1,-1,321,220,214,297,541,511,294,206,204,301,500,505
Mar,Puebla,0–1,América,0,1,0,242,188,242,271,430,513,363,310,198,246,673,444
Mié,Necaxa,2–2,Monterrey,2,2,-1,181,164,174,202,345,376,354,254,181,257,608,438
Jue,Atlas,1–3,Morelia,1,3,0,198,201,207,268,399,475,148,138,147,177,286,324
Sáb,Cruz Azul,3–1,Pachuca,3,1,1,264,211,193,227,475,420,329,249,197,272,578,469
Vie,Tijuana,1–1,Toluca,1,1,-1,247,160,200,308,407,508,332,212,216,283,544,499
Vie,Puebla,2–2,Santos,2,2,-1,242,188,242,271,430,513,321,220,214,297,541,511
Dom,UNAM,4–0,Atlético,4,0,1,294,206,204,301,500,505,109,106,136,150,215,286
Sáb,UANL,3–0,Guadalajara,3,0,1,367,253,189,214,620,403,233,212,204,222,445,426
Sáb,León,3–1,Monterrey,3,1,1,332,240,225,278,572,503,354,254,181,257,608,438
Dom,Querétaro,1–2,América,1,2,0,215,184,206,294,399,500,363,310,198,246,673,444
Dom,FC Juárez,2–1,Necaxa,2,1,1,96,71,107,145,167,252,181,164,174,202,345,376
Sáb,Pachuca,1–0,Puebla,1,0,1,329,249,197,272,578,469,242,188,242,271,430,513
Sáb,Toluca,2–3,UNAM,2,3,0,332,212,216,283,544,499,294,206,204,301,500,505
Vie,Atlético,3–1,León,3,1,1,109,106,136,150,215,286,332,240,225,278,572,503
Vie,Morelia,1–1,Tijuana,1,1,-1,148,138,147,177,286,324,247,160,200,308,407,508
Dom,Necaxa,2–3,Querétaro,2,3,0,181,164,174,202,345,376,215,184,206,294,399,500
Sáb,América,2–0,Atlas,2,0,1,363,310,198,246,673,444,198,201,207,268,399,475
Sáb,Monterrey,1–1,FC Juárez,1,1,-1,354,254,181,257,608,438,96,71,107,145,167,252
Sáb,Guadalajara,1–2,Cruz Azul,1,2,0,233,212,204,222,445,426,264,211,193,227,475,420
Dom,Santos,2–1,UANL,2,1,1,321,220,214,297,541,511,367,253,189,214,620,403
Sáb,León,2–1,Necaxa,2,1,1,332,240,225,278,572,503,181,164,174,202,345,376
Vie,Atlas,0–2,Pachuca,0,2,0,198,201,207,268,399,475,329,249,197,272,578,469
Vie,Tijuana,0–1,Guadalajara,0,1,0,247,160,200,308,407,508,233,212,204,222,445,426
Vie,Puebla,2–0,Toluca,2,0,1,242,188,242,271,430,513,332,212,216,283,544,499
Dom,UNAM,1–2,Morelia,1,2,0,294,206,204,301,500,505,148,138,147,177,286,324
Dom,Querétaro,0–1,Atlético,0,1,0,215,184,206,294,399,500,109,106,136,150,215,286
Sáb,Cruz Azul,2–1,UANL,2,1,1,264,211,193,227,475,420,367,253,189,214,620,403
Sáb,Monterrey,0–1,América,0,1,0,354,254,181,257,608,438,363,310,198,246,673,444
Dom,FC Juárez,1–2,Santos,1,2,0,96,71,107,145,167,252,321,220,214,297,541,511
Sáb,Pachuca,1–1,Querétaro,1,1,-1,329,249,197,272,578,469,215,184,206,294,399,500
