dayofweek,home_team,score,away_team,home_goals,away_goals,result,home_goals_total_home,away_goals_total_home,home_conceded_home,away_conceded_home,goalsScored_home,goalsConceded_home,home_goals_total_away,away_goals_total_away,home_conceded_away,away_conceded_away,goalsScored_away,goalsConceded_away
Sáb,Monterrey,2–0,Veracruz,2,0,1,354,254,181,257,608,438,109,69,138,191,178,329
Sáb,Lobos BUAP,3–1,Tijuana,3,1,1,47,35,50,73,82,123,247,160,200,308,407,508
Dom,Atlas,0–0,León,0,0,-1,198,201,207,268,399,475,332,240,225,278,572,503
Sáb,Cruz Azul,2–1,Lobos BUAP,2,1,1,264,211,193,227,475,420,47,35,50,73,82,123
Vie,Veracruz,2–2,Querétaro,2,2,-1,109,69,138,191,178,329,215,184,206,294,399,500
Vie,Atlas,0–0,Pachuca,0,0,-1,198,201,207,268,399,475,329,249,197,272,578,469
Dom,Toluca,0–1,UNAM,0,1,0,332,212,216,283,544,499,294,206,204,301,500,505
Sáb,Tijuana,2–3,Morelia,2,3,0,247,160,200,308,407,508,148,138,147,177,286,324
Sáb,León,0–1,Guadalajara,0,1,0,332,240,225,278,572,503,233,212,204,222,445,426
Sáb,UANL,6–1,Puebla,6,1,1,367,253,189,214,620,403,242,188,242,271,430,513
Sáb,Necaxa,1–1,Monterrey,1,1,-1,181,164,174,202,345,376,354,254,181,257,608,438
Dom,Santos,1–1,América,1,1,-1,321,220,214,297,541,511,363,310,198,246,673,444
Sáb,Querétaro,1–0,Necaxa,1,0,1,215,184,206,294,399,500,181,164,174,202,345,376
Vie,Morelia,0–2,Cruz Azul,0,2,0,148,138,147,177,286,324,264,211,193,227,475,420
Vie,Puebla,0–0,Tijuana,0,0,-1,242,188,242,271,430,513,247,160,200,308,407,508
Dom,UNAM,1–1,Santos,1,1,-1,294,206,204,301,500,505,321,220,214,297,541,511
Dom,Lobos BUAP,2–0,Toluca,2,0,1,47,35,50,73,82,123,332,212,216,283,544,499
Sáb,América,4–1,Veracruz,4,1,1,363,310,198,246,673,444,109,69,138,191,178,329
Sáb,Pachuca,1–1,León,1,1,-1,329,249,197,272,578,469,332,240,225,278,572,503
Sáb,Guadalajara,0–1,UANL,0,1,0,233,212,204,222,445,426,367,253,189,214,620,403
Sáb,Monterrey,3–1,Atlas,3,1,1,354,254,181,257,608,438,198,201,207,268,399,475
Mié,Querétaro,0–2,Cruz Azul,0,2,0,215,184,206,294,399,500,264,211,193,227,475,420
Mié,Monterrey,1–0,Santos,1,0,1,354,254,181,257,608,438,321,220,214,297,541,511
Jue,Toluca,2–2,América,2,2,-1,332,212,216,283,544,499,363,310,198,246,673,444
Jue,UANL,2–1,UNAM,2,1,1,367,253,189,214,620,403,294,206,204,301,500,505
Dom,UNAM,3–1,UANL,3,1,1,294,206,204,301,500,505,367,253,189,214,620,403
Sáb,Cruz Azul,1–1,Querétaro,1,1,-1,264,211,193,227,475,420,215,184,206,294,399,500
Sáb,Santos,0–2,Monterrey,0,2,0,321,220,214,297,541,511,354,254,181,257,608,438
Dom,América,3–2,Toluca,3,2,1,363,310,198,246,673,444,332,212,216,283,544,499
Mié,Monterrey,1–0,Cruz Azul,1,0,1,354,254,181,257,608,438,264,211,193,227,475,420
Jue,UNAM,1–1,América,1,1,-1,294,206,204,301,500,505,363,310,198,246,673,444
Sáb,Cruz Azul,1–0,Monterrey,1,0,1,264,211,193,227,475,420,354,254,181,257,608,438
Dom,América,6–1,UNAM,6,1,1,363,310,198,246,673,444,294,206,204,301,500,505
Jue,América,0–0,Cruz Azul,0,0,-1,363,310,198,246,673,444,264,211,193,227,475,420
Dom,Cruz Azul,0–2,América,0,2,0,264,211,193,227,475,420,363,310,198,246,673,444
Sáb,Querétaro,1–2,Atlas,1,2,0,215,184,206,294,399,500,198,201,207,268,399,475
Sáb,Monterrey,5–0,Pachuca,5,0,1,354,254,181,257,608,438,329,249,197,272,578,469
Vie,Morelia,1–3,Toluca,1,3,0,148,138,147,177,286,324,332,212,216,283,544,499
Vie,Puebla,1–1,Cruz Azul,1,1,-1,242,188,242,271,430,513,264,211,193,227,475,420
Dom,UNAM,0–0,Veracruz,0,0,-1,294,206,204,301,500,505,109,69,138,191,178,329
Dom,Lobos BUAP,2–0,Santos,2,0,1,47,35,50,73,82,123,321,220,214,297,541,511
Sáb,León,2–2,UANL,2,2,-1,332,240,225,278,572,503,367,253,189,214,620,403
Sáb,Guadalajara,2–0,Tijuana,2,0,1,233,212,204,222,445,426,247,160,200,308,407,508
Sáb,Monterrey,2–2,León,2,2,-1,354,254,181,257,608,438,332,240,225,278,572,503
Vie,Veracruz,0–1,Lobos BUAP,0,1,0,109,69,138,191,178,329,47,35,50,73,82,123
Vie,Atlas,1–2,América,1,2,0,198,201,207,268,399,475,363,310,198,246,673,444
Dom,Toluca,2–0,Puebla,2,0,1,332,212,216,283,544,499,242,188,242,271,430,513
Sáb,Cruz Azul,0–1,Guadalajara,0,1,0,264,211,193,227,475,420,233,212,204,222,445,426
Sáb,Tijuana,0–3,UANL,0,3,0,247,160,200,308,407,508,367,253,189,214,620,403
Sáb,Pachuca,3–0,Querétaro,3,0,1,329,249,197,272,578,469,215,184,206,294,399,500
Sáb,Necaxa,2–1,UNAM,2,1,1,181,164,174,202,345,376,294,206,204,301,500,505
Dom,Santos,1–0,Morelia,1,0,1,321,220,214,297,541,511,148,138,147,177,286,324
Sáb,Querétaro,1–2,Monterrey,1,2,0,215,184,206,294,399,500,354,254,181,257,608,438
Vie,Morelia,2–0,Veracruz,2,0,1,148,138,147,177,286,324,109,69,138,191,178,329
Vie,Puebla,1–1,Santos,1,1,-1,242,188,242,271,430,513,321,220,214,297,541,511
Dom,UNAM,2–2,Atlas,2,2,-1,294,206,204,301,500,505,198,201,207,268,399,475
Dom,Lobos BUAP,2–3,Necaxa,2,3,0,47,35,50,73,82,123,181,164,174,202,345,376
Sáb,América,3–0,Pachuca,3,0,1,363,310,198,246,673,444,329,249,197,272,578,469
Sáb,UANL,0–1,Cruz Azul,0,1,0,367,253,189,214,620,403,264,211,193,227,475,420
Dom,Guadalajara,1–0,Toluca,1,0,1,233,212,204,222,445,426,332,212,216,283,544,499
Dom,León,0–1,Tijuana,0,1,0,332,240,225,278,572,503,247,160,200,308,407,508
Sáb,Cruz Azul,1–0,Tijuana,1,0,1,264,211,193,227,475,420,247,160,200,308,407,508
Sáb,Monterrey,3–2,América,3,2,1,354,254,181,257,608,438,363,310,198,246,673,444
Vie,Veracruz,0–1,Puebla,0,1,0,109,69,138,191,178,329,242,188,242,271,430,513
Vie,Atlas,3–1,Lobos BUAP,3,1,1,198,201,207,268,399,475,47,35,50,73,82,123
Dom,Toluca,0–1,UANL,0,1,0,332,212,216,283,544,499,367,253,189,214,620,403
Dom,Querétaro,0–4,León,0,4,0,215,184,206,294,399,500,332,240,225,278,572,503
Sáb,Pachuca,1–0,UNAM,1,0,1,329,249,197,272,578,469,294,206,204,301,500,505
Sáb,Necaxa,0–0,Morelia,0,0,-1,181,164,174,202,345,376,148,138,147,177,286,324
Dom,Santos,1–0,Guadalajara,1,0,1,321,220,214,297,541,511,233,212,204,222,445,426
Sáb,América,2–0,Querétaro,2,0,1,363,310,198,246,673,444,215,184,206,294,399,500
Vie,Morelia,1–2,Atlas,1,2,0,148,138,147,177,286,324,198,201,207,268,399,475
Vie,Puebla,1–4,Necaxa,1,4,0,242,188,242,271,430,513,181,164,174,202,345,376
Dom,UNAM,1–1,Monterrey,1,1,-1,294,206,204,301,500,505,354,254,181,257,608,438
Dom,Lobos BUAP,1–1,Pachuca,1,1,-1,47,35,50,73,82,123,329,249,197,272,578,469
Sáb,León,2–0,Cruz Azul,2,0,1,332,240,225,278,572,503,264,211,193,227,475,420
Sáb,UANL,2–1,Santos,2,1,1,367,253,189,214,620,403,321,220,214,297,541,511
Sáb,Tijuana,2–0,Toluca,2,0,1,247,160,200,308,407,508,332,212,216,283,544,499
Lun,Guadalajara,0–0,Veracruz,0,0,-1,233,212,204,222,445,426,109,69,138,191,178,329
Sáb,Monterrey,4–0,Lobos BUAP,4,0,1,354,254,181,257,608,438,47,35,50,73,82,123
Sáb,Querétaro,0–2,UNAM,0,2,0,215,184,206,294,399,500,294,206,204,301,500,505
Vie,Veracruz,0–2,UANL,0,2,0,109,69,138,191,178,329,367,253,189,214,620,403
Vie,Atlas,1–2,Puebla,1,2,0,198,201,207,268,399,475,242,188,242,271,430,513
Dom,Toluca,1–1,Cruz Azul,1,1,-1,332,212,216,283,544,499,264,211,193,227,475,420
Sáb,Pachuca,2–0,Morelia,2,0,1,329,249,197,272,578,469,148,138,147,177,286,324
Sáb,América,0–3,León,0,3,0,363,310,198,246,673,444,332,240,225,278,572,503
Sáb,Necaxa,3–3,Guadalajara,3,3,-1,181,164,174,202,345,376,233,212,204,222,445,426
Dom,Santos,1–1,Tijuana,1,1,-1,321,220,214,297,541,511,247,160,200,308,407,508
Sáb,Cruz Azul,1–2,Santos,1,2,0,264,211,193,227,475,420,321,220,214,297,541,511
Vie,Morelia,2–3,Monterrey,2,3,0,148,138,147,177,286,324,354,254,181,257,608,438
Vie,Tijuana,3–0,Veracruz,3,0,1,247,160,200,308,407,508,109,69,138,191,178,329
Vie,Puebla,1–1,Pachuca,1,1,-1,242,188,242,271,430,513,329,249,197,272,578,469
Dom,UNAM,1–0,América,1,0,1,294,206,204,301,500,505,363,310,198,246,673,444
Dom,Lobos BUAP,3–1,Querétaro,3,1,1,47,35,50,73,82,123,215,184,206,294,399,500
Sáb,UANL,3–2,Necaxa,3,2,1,367,253,189,214,620,403,181,164,174,202,345,376
Sáb,León,3–0,Toluca,3,0,1,332,240,225,278,572,503,332,212,216,283,544,499
Sáb,Guadalajara,3–0,Atlas,3,0,1,233,212,204,222,445,426,198,201,207,268,399,475
Sáb,Querétaro,3–0,Morelia,3,0,1,215,184,206,294,399,500,148,138,147,177,286,324
Vie,Atlas,0–1,UANL,0,1,0,198,201,207,268,399,475,367,253,189,214,620,403
Vie,Veracruz,1–1,Cruz Azul,1,1,-1,109,69,138,191,178,329,264,211,193,227,475,420
Dom,UNAM,1–3,León,1,3,0,294,206,204,301,500,505,332,240,225,278,572,503
Sáb,Monterrey,0–0,Puebla,0,0,-1,354,254,181,257,608,438,242,188,242,271,430,513
Sáb,América,3–0,Lobos BUAP,3,0,1,363,310,198,246,673,444,47,35,50,73,82,123
Sáb,Pachuca,3–1,Guadalajara,3,1,1,329,249,197,272,578,469,233,212,204,222,445,426
Sáb,Necaxa,1–2,Tijuana,1,2,0,181,164,174,202,345,376,247,160,200,308,407,508
Dom,Santos,4–0,Toluca,4,0,1,321,220,214,297,541,511,332,212,216,283,544,499
Sáb,Cruz Azul,2–1,Necaxa,2,1,1,264,211,193,227,475,420,181,164,174,202,345,376
Vie,Tijuana,3–1,Atlas,3,1,1,247,160,200,308,407,508,198,201,207,268,399,475
Vie,Morelia,2–2,América,2,2,-1,148,138,147,177,286,324,363,310,198,246,673,444
Dom,Toluca,3–1,Veracruz,3,1,1,332,212,216,283,544,499,109,69,138,191,178,329
Dom,Lobos BUAP,2–1,UNAM,2,1,1,47,35,50,73,82,123,294,206,204,301,500,505
Sáb,León,3–0,Santos,3,0,1,332,240,225,278,572,503,321,220,214,297,541,511
Sáb,UANL,3–0,Pachuca,3,0,1,367,253,189,214,620,403,329,249,197,272,578,469
Sáb,Guadalajara,0–2,Monterrey,0,2,0,233,212,204,222,445,426,354,254,181,257,608,438
Lun,Puebla,1–0,Querétaro,1,0,1,242,188,242,271,430,513,215,184,206,294,399,500
Mar,América,1–3,Necaxa,1,3,0,363,310,198,246,673,444,181,164,174,202,345,376
Sáb,Pachuca,4–0,Tijuana,4,0,1,329,249,197,272,578,469,247,160,200,308,407,508
Vie,Veracruz,2–2,Santos,2,2,-1,109,69,138,191,178,329,321,220,214,297,541,511
Vie,Atlas,0–2,Cruz Azul,0,2,0,198,201,207,268,399,475,264,211,193,227,475,420
Dom,UNAM,2–2,Morelia,2,2,-1,294,206,204,301,500,505,148,138,147,177,286,324
Dom,Lobos BUAP,0–1,León,0,1,0,47,35,50,73,82,123,332,240,225,278,572,503
Sáb,América,1–0,Puebla,1,0,1,363,310,198,246,673,444,242,188,242,271,430,513
Sáb,Monterrey,1–1,UANL,1,1,-1,354,254,181,257,608,438,367,253,189,214,620,403
Sáb,Necaxa,1–1,Toluca,1,1,-1,181,164,174,202,345,376,332,212,216,283,544,499
Sáb,Querétaro,0–0,Guadalajara,0,0,-1,215,184,206,294,399,500,233,212,204,222,445,426
Sáb,Cruz Azul,4–1,Pachuca,4,1,1,264,211,193,227,475,420,329,249,197,272,578,469
Vie,Morelia,1–1,Lobos BUAP,1,1,-1,148,138,147,177,286,324,47,35,50,73,82,123
Vie,Puebla,1–0,UNAM,1,0,1,242,188,242,271,430,513,294,206,204,301,500,505
Dom,Toluca,2–0,Atlas,2,0,1,332,212,216,283,544,499,198,201,207,268,399,475
Sáb,Guadalajara,0–2,América,0,2,0,233,212,204,222,445,426,363,310,198,246,673,444
Sáb,Tijuana,1–0,Monterrey,1,0,1,247,160,200,308,407,508,354,254,181,257,608,438
Sáb,UANL,4–1,Querétaro,4,1,1,367,253,189,214,620,403,215,184,206,294,399,500
Dom,Santos,1–2,Necaxa,1,2,0,321,220,214,297,541,511,181,164,174,202,345,376
Dom,León,2–0,Veracruz,2,0,1,332,240,225,278,572,503,109,69,138,191,178,329
Sáb,Querétaro,1–0,Tijuana,1,0,1,215,184,206,294,399,500,247,160,200,308,407,508
Vie,Morelia,2–3,León,2,3,0,148,138,147,177,286,324,332,240,225,278,572,503
Vie,Atlas,1–0,Santos,1,0,1,198,201,207,268,399,475,321,220,214,297,541,511
Dom,UNAM,2–1,Guadalajara,2,1,1,294,206,204,301,500,505,233,212,204,222,445,426
Dom,Lobos BUAP,0–4,Puebla,0,4,0,47,35,50,73,82,123,242,188,242,271,430,513
Sáb,Pachuca,3–2,Toluca,3,2,1,329,249,197,272,578,469,332,212,216,283,544,499
Sáb,América,3–0,UANL,3,0,1,363,310,198,246,673,444,367,253,189,214,620,403
Sáb,Monterrey,2–2,Cruz Azul,2,2,-1,354,254,181,257,608,438,264,211,193,227,475,420
Sáb,Necaxa,2–0,Veracruz,2,0,1,181,164,174,202,345,376,109,69,138,191,178,329
Sáb,Cruz Azul,3–0,Querétaro,3,0,1,264,211,193,227,475,420,215,184,206,294,399,500
Vie,Veracruz,0–1,Atlas,0,1,0,109,69,138,191,178,329,198,201,207,268,399,475
Vie,Puebla,1–1,Morelia,1,1,-1,242,188,242,271,430,513,148,138,147,177,286,324
Dom,Toluca,5–1,Monterrey,5,1,1,332,212,216,283,544,499,354,254,181,257,608,438
Dom,Santos,0–0,Pachuca,0,0,-1,321,220,214,297,541,511,329,249,197,272,578,469
Sáb,UANL,2–0,UNAM,2,0,1,367,253,189,214,620,403,294,206,204,301,500,505
Sáb,León,2–1,Necaxa,2,1,1,332,240,225,278,572,503,181,164,174,202,345,376
Sáb,Tijuana,3–2,América,3,2,1,247,160,200,308,407,508,363,310,198,246,673,444
Sáb,Guadalajara,0–1,Lobos BUAP,0,1,0,233,212,204,222,445,426,47,35,50,73,82,123
Sáb,Querétaro,0–0,Toluca,0,0,-1,215,184,206,294,399,500,332,212,216,283,544,499
Vie,Puebla,0–3,León,0,3,0,242,188,242,271,430,513,332,240,225,278,572,503
Vie,Atlas,1–2,Necaxa,1,2,0,198,201,207,268,399,475,181,164,174,202,345,376
Dom,UNAM,1–0,Tijuana,1,0,1,294,206,204,301,500,505,247,160,200,308,407,508
Dom,Lobos BUAP,0–3,UANL,0,3,0,47,35,50,73,82,123,367,253,189,214,620,403
Dom,América,0–0,Cruz Azul,0,0,-1,363,310,198,246,673,444,264,211,193,227,475,420
Sáb,Pachuca,9–2,Veracruz,9,2,1,329,249,197,272,578,469,109,69,138,191,178,329
Sáb,Morelia,1–0,Guadalajara,1,0,1,148,138,147,177,286,324,233,212,204,222,445,426
Dom,Monterrey,4–0,Santos,4,0,1,354,254,181,257,608,438,321,220,214,297,541,511
Sáb,Necaxa,2–2,Pachuca,2,2,-1,181,164,174,202,345,376,329,249,197,272,578,469
Sáb,León,5–2,Atlas,5,2,1,332,240,225,278,572,503,198,201,207,268,399,475
Vie,Tijuana,1–2,Lobos BUAP,1,2,0,247,160,200,308,407,508,47,35,50,73,82,123
Vie,Veracruz,0–1,Monterrey,0,1,0,109,69,138,191,178,329,354,254,181,257,608,438
Dom,Toluca,3–2,América,3,2,1,332,212,216,283,544,499,363,310,198,246,673,444
Dom,Santos,2–1,Querétaro,2,1,1,321,220,214,297,541,511,215,184,206,294,399,500
Sáb,Cruz Azul,2–1,UNAM,2,1,1,264,211,193,227,475,420,294,206,204,301,500,505
Sáb,UANL,3–3,Morelia,3,3,-1,367,253,189,214,620,403,148,138,147,177,286,324
Sáb,Guadalajara,1–3,Puebla,1,3,0,233,212,204,222,445,426,242,188,242,271,430,513
Sáb,Pachuca,1–0,Atlas,1,0,1,329,249,197,272,578,469,198,201,207,268,399,475
Vie,Puebla,1–1,UANL,1,1,-1,242,188,242,271,430,513,367,253,189,214,620,403
Vie,Morelia,1–4,Tijuana,1,4,0,148,138,147,177,286,324,247,160,200,308,407,508
Dom,UNAM,2–2,Toluca,2,2,-1,294,206,204,301,500,505,332,212,216,283,544,499
Dom,Lobos BUAP,1–4,Cruz Azul,1,4,0,47,35,50,73,82,123,264,211,193,227,475,420
Dom,Querétaro,2–1,Veracruz,2,1,1,215,184,206,294,399,500,109,69,138,191,178,329
Sáb,América,1–0,Santos,1,0,1,363,310,198,246,673,444,321,220,214,297,541,511
Sáb,Monterrey,2–2,Necaxa,2,2,-1,354,254,181,257,608,438,181,164,174,202,345,376
Sáb,Guadalajara,2–1,León,2,1,1,233,212,204,222,445,426,332,240,225,278,572,503
Sáb,Cruz Azul,1–1,Morelia,1,1,-1,264,211,193,227,475,420,148,138,147,177,286,324
Vie,Veracruz,0–2,América,0,2,0,109,69,138,191,178,329,363,310,198,246,673,444
Dom,Toluca,4–0,Lobos BUAP,4,0,1,332,212,216,283,544,499,47,35,50,73,82,123
Dom,Atlas,2–0,Monterrey,2,0,1,198,201,207,268,399,475,354,254,181,257,608,438
Dom,Santos,5–2,UNAM,5,2,1,321,220,214,297,541,511,294,206,204,301,500,505
Sáb,UANL,2–1,Guadalajara,2,1,1,367,253,189,214,620,403,233,212,204,222,445,426
Sáb,León,2–1,Pachuca,2,1,1,332,240,225,278,572,503,329,249,197,272,578,469
Sáb,Tijuana,4–0,Puebla,4,0,1,247,160,200,308,407,508,242,188,242,271,430,513
Sáb,Necaxa,1–0,Querétaro,1,0,1,181,164,174,202,345,376,215,184,206,294,399,500
Mié,Pachuca,1–1,UANL,1,1,-1,329,249,197,272,578,469,367,253,189,214,620,403
Mié,Tijuana,1–3,León,1,3,0,247,160,200,308,407,508,332,240,225,278,572,503
Jue,Necaxa,1–0,Monterrey,1,0,1,181,164,174,202,345,376,354,254,181,257,608,438
Jue,América,3–1,Cruz Azul,3,1,1,363,310,198,246,673,444,264,211,193,227,475,420
Dom,Cruz Azul,1–0,América,1,0,1,264,211,193,227,475,420,363,310,198,246,673,444
Sáb,UANL,1–1,Pachuca,1,1,-1,367,253,189,214,620,403,329,249,197,272,578,469
Sáb,León,2–1,Tijuana,2,1,1,332,240,225,278,572,503,247,160,200,308,407,508
Dom,Monterrey,1–0,Necaxa,1,0,1,354,254,181,257,608,438,181,164,174,202,345,376
Mié,Monterrey,1–0,UANL,1,0,1,354,254,181,257,608,438,367,253,189,214,620,403
Jue,América,0–1,León,0,1,0,363,310,198,246,673,444,332,240,225,278,572,503
Sáb,UANL,1–0,Monterrey,1,0,1,367,253,189,214,620,403,354,254,181,257,608,438
Dom,León,0–1,América,0,1,0,332,240,225,278,572,503,363,310,198,246,673,444
Jue,UANL,1–0,León,1,0,1,367,253,189,214,620,403,332,240,225,278,572,503
Dom,León,0–0,UANL,0,0,-1,332,240,225,278,572,503,367,253,189,214,620,403
Sáb,Lobos BUAP,2–2,Santos,2,2,-1,47,35,50,73,82,123,321,220,214,297,541,511
Sáb,América,0–1,Querétaro,0,1,0,363,310,198,246,673,444,215,184,206,294,399,500
Vie,Morelia,0–0,Monterrey,0,0,-1,148,138,147,177,286,324,354,254,181,257,608,438
Vie,Tijuana,0–2,Cruz Azul,0,2,0,247,160,200,308,407,508,264,211,193,227,475,420
Dom,UNAM,1–0,Pachuca,1,0,1,294,206,204,301,500,505,329,249,197,272,578,469
Dom,Veracruz,0–2,Necaxa,0,2,0,109,69,138,191,178,329,181,164,174,202,345,376
Sáb,UANL,5–0,Puebla,5,0,1,367,253,189,214,620,403,242,188,242,271,430,513
Sáb,León,0–3,Atlas,0,3,0,332,240,225,278,572,503,198,201,207,268,399,475
Sáb,Guadalajara,0–0,Toluca,0,0,-1,233,212,204,222,445,426,332,212,216,283,544,499
Sáb,Cruz Azul,1–1,Guadalajara,1,1,-1,264,211,193,227,475,420,233,212,204,222,445,426
Sáb,Querétaro,0–4,Lobos BUAP,0,4,0,215,184,206,294,399,500,47,35,50,73,82,123
Vie,Puebla,1–1,Morelia,1,1,-1,242,188,242,271,430,513,148,138,147,177,286,324
Vie,Atlas,2–1,UNAM,2,1,1,198,201,207,268,399,475,294,206,204,301,500,505
Dom,Toluca,3–1,León,3,1,1,332,212,216,283,544,499,332,240,225,278,572,503
Dom,Santos,1–1,UANL,1,1,-1,321,220,214,297,541,511,367,253,189,214,620,403
Sáb,Monterrey,1–0,Veracruz,1,0,1,354,254,181,257,608,438,109,69,138,191,178,329
Sáb,Pachuca,0–2,América,0,2,0,329,249,197,272,578,469,363,310,198,246,673,444
Sáb,Necaxa,1–0,Tijuana,1,0,1,181,164,174,202,345,376,247,160,200,308,407,508
Sáb,Lobos BUAP,3–2,Pachuca,3,2,1,47,35,50,73,82,123,329,249,197,272,578,469
Vie,Morelia,1–1,Santos,1,1,-1,148,138,147,177,286,324,321,220,214,297,541,511
Vie,Tijuana,0–3,Monterrey,0,3,0,247,160,200,308,407,508,354,254,181,257,608,438
Dom,Toluca,3–2,Atlas,3,2,1,332,212,216,283,544,499,198,201,207,268,399,475
Dom,Veracruz,2–0,Puebla,2,0,1,109,69,138,191,178,329,242,188,242,271,430,513
Sáb,UANL,1–1,Querétaro,1,1,-1,367,253,189,214,620,403,215,184,206,294,399,500
Sáb,León,2–2,Cruz Azul,2,2,-1,332,240,225,278,572,503,264,211,193,227,475,420
Sáb,América,2–1,UNAM,2,1,1,363,310,198,246,673,444,294,206,204,301,500,505
Sáb,Guadalajara,2–2,Necaxa,2,2,-1,233,212,204,222,445,426,181,164,174,202,345,376
Sáb,Cruz Azul,0–0,Toluca,0,0,-1,264,211,193,227,475,420,332,212,216,283,544,499
Sáb,Querétaro,2–1,Morelia,2,1,1,215,184,206,294,399,500,148,138,147,177,286,324
Vie,Puebla,1–1,Tijuana,1,1,-1,242,188,242,271,430,513,247,160,200,308,407,508
Vie,Atlas,0–1,América,0,1,0,198,201,207,268,399,475,363,310,198,246,673,444
Dom,UNAM,2–0,Lobos BUAP,2,0,1,294,206,204,301,500,505,47,35,50,73,82,123
Dom,Santos,2–3,Veracruz,2,3,0,321,220,214,297,541,511,109,69,138,191,178,329
Sáb,Monterrey,4–1,Guadalajara,4,1,1,354,254,181,257,608,438,233,212,204,222,445,426
Sáb,Pachuca,2–1,UANL,2,1,1,329,249,197,272,578,469,367,253,189,214,620,403
Sáb,Necaxa,0–3,León,0,3,0,181,164,174,202,345,376,332,240,225,278,572,503
Sáb,Cruz Azul,2–1,Atlas,2,1,1,264,211,193,227,475,420,198,201,207,268,399,475
Sáb,Lobos BUAP,2–3,América,2,3,0,47,35,50,73,82,123,363,310,198,246,673,444
Vie,Tijuana,2–0,Santos,2,0,1,247,160,200,308,407,508,321,220,214,297,541,511
Vie,Morelia,1–2,Pachuca,1,2,0,148,138,147,177,286,324,329,249,197,272,578,469
Dom,Toluca,0–0,Necaxa,0,0,-1,332,212,216,283,544,499,181,164,174,202,345,376
Sáb,UANL,2–0,UNAM,2,0,1,367,253,189,214,620,403,294,206,204,301,500,505
Sáb,Veracruz,1–1,Querétaro,1,1,-1,109,69,138,191,178,329,215,184,206,294,399,500
Sáb,León,1–2,Monterrey,1,2,0,332,240,225,278,572,503,354,254,181,257,608,438
Sáb,Guadalajara,0–1,Puebla,0,1,0,233,212,204,222,445,426,242,188,242,271,430,513
Mar,Pachuca,4–1,Veracruz,4,1,1,329,249,197,272,578,469,109,69,138,191,178,329
Mar,Atlas,1–1,Lobos BUAP,1,1,-1,198,201,207,268,399,475,47,35,50,73,82,123
Mar,Querétaro,1–3,Tijuana,1,3,0,215,184,206,294,399,500,247,160,200,308,407,508
Mar,UNAM,1–2,Morelia,1,2,0,294,206,204,301,500,505,148,138,147,177,286,324
Mié,América,2–2,UANL,2,2,-1,363,310,198,246,673,444,367,253,189,214,620,403
Mié,Puebla,0–1,León,0,1,0,242,188,242,271,430,513,332,240,225,278,572,503
Mié,Santos,1–1,Guadalajara,1,1,-1,321,220,214,297,541,511,233,212,204,222,445,426
