dayofweek,home_team,score,away_team
Sáb,Atlético,0–2,UNAM
Sáb,Pachuca,1–3,León
Vie,Puebla,1–3,Tijuana
Vie,Atlas,1–0,FC Juárez
Dom,Toluca,0–2,Querétaro
Dom,Santos,3–0,Guadalajara
Sáb,América,4–2,Monterrey
Sáb,Necaxa,0–0,Cruz Azul
Sáb,UANL,4–2,Morelia
Vie,Morelia,0–1,Atlas
Vie,Veracruz,3–3,Pachuca
Dom,UNAM,2–0,Necaxa
Dom,Atlético,1–0,Monterrey
Dom,Santos,3–0,FC Juárez
Sáb,León,0–0,América
Sáb,Tijuana,1–1,Querétaro
Sáb,Cruz Azul,1–1,Toluca
Dom,Guadalajara,2–0,UANL
Sáb,Querétaro,3–0,Cruz Azul
Vie,Puebla,1–1,Guadalajara
Vie,Atlas,1–2,Santos
Dom,UNAM,0–1,UANL
Sáb,América,3–1,Tijuana
Sáb,Pachuca,1–2,Morelia
Sáb,Necaxa,7–0,Veracruz
Sáb,Monterrey,3–2,León
Dom,FC Juárez,2–0,Toluca
Sáb,Cruz Azul,2–0,FC Juárez
Sáb,Querétaro,2–1,Pachuca
Vie,Morelia,0–1,Monterrey
Vie,Tijuana,1–0,UNAM
Vie,Veracruz,1–2,Atlas
Dom,Toluca,0–1,América
Dom,Santos,4–1,Puebla
Sáb,UANL,3–1,Necaxa
Sáb,Guadalajara,3–0,Atlético
Sáb,Atlético,1–1,UANL
Vie,Puebla,0–4,Pachuca
Vie,Atlas,1–3,Cruz Azul
Dom,UNAM,2–0,Veracruz
Dom,Necaxa,3–0,Santos
Sáb,León,4–3,Guadalajara
Sáb,América,1–0,Morelia
Sáb,Monterrey,2–0,Toluca
Dom,FC Juárez,0–2,Querétaro
Sáb,Querétaro,0–4,León
Vie,Veracruz,1–2,Atlético
Vie,Morelia,2–0,UNAM
Vie,Santos,2–1,Monterrey
Dom,Toluca,2–0,Tijuana
Dom,Guadalajara,1–2,Necaxa
Sáb,Pachuca,3–1,Atlas
Sáb,Cruz Azul,1–1,Puebla
Sáb,UANL,1–1,América
Mar,Atlético,1–1,Morelia
Mar,Atlas,1–1,UANL
Mar,Veracruz,0–5,Querétaro
Mar,América,1–1,Pachuca
Mié,León,2–2,Santos
Mié,Tijuana,3–2,Cruz Azul
Mié,Necaxa,1–1,Toluca
Jue,Puebla,2–1,FC Juárez
Jue,Monterrey,2–0,UNAM
Sáb,Necaxa,3–2,Tijuana
Vie,Morelia,1–0,Veracruz
Vie,Atlas,3–0,América
Dom,UNAM,2–1,Toluca
Dom,Querétaro,1–1,Puebla
Sáb,Pachuca,0–2,Atlético
Sáb,UANL,1–1,León
Sáb,Cruz Azul,1–1,Guadalajara
Dom,FC Juárez,1–0,Monterrey
Sáb,Monterrey,0–2,Necaxa
Vie,Puebla,1–3,Atlético
Vie,Tijuana,1–1,UANL
Vie,Veracruz,0–0,Cruz Azul
Dom,Toluca,0–2,Morelia
Dom,Santos,2–2,Pachuca
Sáb,León,3–1,FC Juárez
Sáb,Guadalajara,1–0,Atlas
Sáb,América,1–1,UNAM
Sáb,Monterrey,3–2,Puebla
Sáb,Atlético,2–3,Santos
Sáb,Necaxa,2–4,León
Vie,Atlas,0–1,Toluca
Vie,Morelia,1–0,Guadalajara
Dom,UNAM,1–1,Cruz Azul
Sáb,Pachuca,4–1,Tijuana
Sáb,América,2–2,Querétaro
Dom,FC Juárez,2–0,Veracruz
Mar,Querétaro,1–2,Necaxa
Mar,UANL,0–1,Puebla
Mar,León,1–1,Atlas
Mar,Guadalajara,2–4,Pachuca
Mié,FC Juárez,1–1,América
Mié,Santos,5–0,Veracruz
Mié,Tijuana,3–2,Morelia
Mié,Cruz Azul,1–1,Monterrey
Jue,Toluca,3–1,Atlético
Sáb,Pachuca,2–0,Cruz Azul
Vie,Puebla,2–1,León
Vie,Atlas,2–0,Querétaro
Dom,UNAM,2–0,Santos
Dom,Atlético,2–3,Tijuana
Sáb,Necaxa,0–0,FC Juárez
Sáb,Monterrey,0–2,UANL
Sáb,América,4–1,Guadalajara
Dom,Veracruz,1–1,Toluca
Sáb,León,1–1,Veracruz
Vie,Morelia,2–3,Necaxa
Dom,Toluca,1–1,Puebla
Dom,FC Juárez,1–2,Atlético
Sáb,Cruz Azul,5–2,América
Sáb,UANL,4–0,Santos
Sáb,Tijuana,2–2,Atlas
Sáb,Guadalajara,1–1,UNAM
Dom,Querétaro,2–1,Monterrey
Sáb,Cruz Azul,2–3,Morelia
Vie,Puebla,0–1,Atlas
Vie,Veracruz,1–3,UANL
Vie,Santos,4–1,Tijuana
Dom,UNAM,1–2,León
Dom,Atlético,0–2,Querétaro
Sáb,Pachuca,0–1,FC Juárez
Sáb,Necaxa,2–2,América
Dom,Monterrey,1–1,Guadalajara
Sáb,Querétaro,3–0,UNAM
Vie,Morelia,2–2,Santos
Vie,Tijuana,2–0,Veracruz
Vie,Atlas,0–2,Necaxa
Dom,Toluca,2–0,Pachuca
Sáb,América,2–0,Puebla
Sáb,León,3–2,Atlético
Sáb,UANL,1–1,Cruz Azul
Dom,FC Juárez,1–2,Guadalajara
Mar,Atlético,0–1,América
Mar,Veracruz,1–0,Puebla
Mar,Santos,1–0,Querétaro
Mar,UNAM,5–1,Atlas
Mié,Pachuca,2–3,Monterrey
Mié,UANL,1–0,Toluca
Mié,Guadalajara,0–1,Tijuana
Jue,Morelia,6–1,FC Juárez
Jue,Cruz Azul,1–0,León
Sáb,Querétaro,0–0,UANL
Vie,Puebla,1–1,UNAM
Vie,Atlas,1–2,Atlético
Dom,Toluca,1–3,Guadalajara
Sáb,América,1–2,Santos
Sáb,Monterrey,1–1,Veracruz
Sáb,Necaxa,1–2,Pachuca
Dom,FC Juárez,3–0,Tijuana
Dom,León,1–1,Morelia
Sáb,Atlético,0–2,Necaxa
Vie,Morelia,3–2,Puebla
Vie,Tijuana,0–4,Monterrey
Vie,Veracruz,0–5,América
Dom,UNAM,1–1,FC Juárez
Sáb,UANL,0–0,Pachuca
Sáb,León,4–0,Toluca
Sáb,Guadalajara,3–2,Querétaro
Dom,Santos,3–1,Cruz Azul
Sáb,Querétaro,3–1,Morelia
Vie,Puebla,3–0,Necaxa
Vie,Tijuana,1–2,León
Dom,Toluca,2–2,Santos
Sáb,Monterrey,2–0,Atlas
Sáb,Cruz Azul,3–1,Atlético
Sáb,Guadalajara,3–1,Veracruz
Sáb,Pachuca,2–0,UNAM
Dom,FC Juárez,1–2,UANL
Mié,Morelia,3–3,León
Mié,Necaxa,3–0,Querétaro
Jue,Monterrey,5–2,Santos
Jue,América,1–2,UANL
Sáb,León,1–2,Morelia
Sáb,Querétaro,2–3,Necaxa
Dom,Santos,1–1,Monterrey
Dom,UANL,2–4,América
Mié,Monterrey,2–1,Necaxa
Jue,Morelia,2–0,América
Sáb,Necaxa,0–1,Monterrey
Dom,América,2–0,Morelia
Jue,Monterrey,2–1,América
Dom,América,(2) 2–1 (4),Monterrey
Sáb,Cruz Azul,1–2,Atlas
Vie,Tijuana,2–1,Santos
Vie,Morelia,0–1,Toluca
Dom,UNAM,2–1,Pachuca
Sáb,León,3–1,Querétaro
Sáb,Guadalajara,2–0,FC Juárez
Sáb,UANL,0–0,Atlético
Jue,FC Juárez,4–4,UNAM
Sáb,Monterrey,2–2,Morelia
Vie,Atlético,2–1,Cruz Azul
Vie,Atlas,0–1,Puebla
Dom,Toluca,2–3,Necaxa
Dom,Querétaro,3–0,Tijuana
Sáb,Pachuca,0–0,Guadalajara
Sáb,América,1–0,UANL
Dom,Santos,3–2,León
Sáb,Cruz Azul,3–0,Santos
Vie,Tijuana,0–0,América
Vie,Puebla,0–1,Querétaro
Dom,UNAM,1–0,Monterrey
Dom,Necaxa,1–1,Atlético
Sáb,UANL,2–1,Atlas
Sáb,León,3–0,Pachuca
Sáb,Guadalajara,2–2,Toluca
Dom,FC Juárez,3–0,Morelia
Sáb,Necaxa,2–0,Puebla
Sáb,Monterrey,1–2,Querétaro
Sáb,Morelia,1–2,León
Vie,Atlético,2–2,Guadalajara
Vie,Atlas,2–1,Tijuana
Dom,Toluca,3–3,Cruz Azul
Sáb,Pachuca,2–0,UANL
Sáb,América,1–3,FC Juárez
Sáb,Santos,1–1,UNAM
Mar,Puebla,0–1,América
Mié,Necaxa,2–2,Monterrey
Jue,Atlas,1–3,Morelia
Sáb,Cruz Azul,3–1,Pachuca
Vie,Tijuana,1–1,Toluca
Vie,Puebla,2–2,Santos
Dom,UNAM,4–0,Atlético
Sáb,UANL,3–0,Guadalajara
Sáb,León,3–1,Monterrey
Dom,Querétaro,1–2,América
Dom,FC Juárez,2–1,Necaxa
Sáb,Pachuca,1–0,Puebla
Sáb,Toluca,2–3,UNAM
Vie,Atlético,3–1,León
Vie,Morelia,1–1,Tijuana
Dom,Necaxa,2–3,Querétaro
Sáb,América,2–0,Atlas
Sáb,Monterrey,1–1,FC Juárez
Sáb,Guadalajara,1–2,Cruz Azul
Dom,Santos,2–1,UANL
Sáb,León,2–1,Necaxa
Vie,Atlas,0–2,Pachuca
Vie,Tijuana,0–1,Guadalajara
Vie,Puebla,2–0,Toluca
Dom,UNAM,1–2,Morelia
Dom,Querétaro,0–1,Atlético
Sáb,Cruz Azul,2–1,UANL
Sáb,Monterrey,0–1,América
Dom,FC Juárez,1–2,Santos
Sáb,Pachuca,1–1,Querétaro
Vie,Atlético,0–3,FC Juárez
Vie,Toluca,2–0,Monterrey
Vie,Tijuana,0–1,Puebla
Vie,Morelia,2–4,Cruz Azul
Dom,Guadalajara,2–0,León
Sáb,América,0–3,Necaxa
Sáb,UANL,3–0,UNAM
Dom,Santos,1–0,Atlas
Sáb,Cruz Azul,4–2,Tijuana
Sáb,Monterrey,2–2,Atlético
Vie,Querétaro,1–1,Toluca
Vie,UNAM,3–3,América
Vie,Puebla,0–0,UANL
Dom,Necaxa,1–2,Morelia
Sáb,Pachuca,1–0,Santos
Sáb,Atlas,1–2,Guadalajara
Dom,FC Juárez,1–4,León
Sáb,Atlético,0–1,Puebla
Vie,Tijuana,3–2,Pachuca
Vie,Morelia,4–0,Querétaro
Dom,Toluca,2–3,Atlas
Sáb,UANL,3–2,FC Juárez
Sáb,León,3–1,UNAM
Sáb,Guadalajara,1–1,Monterrey
Dom,Santos,2–1,Necaxa
Dom,América,0–1,Cruz Azul
Sáb,Monterrey,,Santos
Sáb,Puebla,,Cruz Azul
Vie,Morelia,,Atlético
Dom,UNAM,,Tijuana
Sáb,América,,León
Sáb,Pachuca,,Toluca
Sáb,Necaxa,,UANL
Dom,Querétaro,,Guadalajara
Dom,FC Juárez,,Atlas
Vie,Cruz Azul,,UNAM
Jue,Atlético,,Pachuca
Jue,Atlas,,Monterrey
Sáb,Toluca,,FC Juárez
Sáb,Santos,,América
Vie,UANL,,Querétaro
Vie,León,,Puebla
Vie,Guadalajara,,Morelia
Sáb,Tijuana,,Necaxa
Vie,Atlético,,Atlas
Vie,Morelia,,UANL
Dom,UNAM,,Puebla
Sáb,León,,Cruz Azul
Sáb,América,,Toluca
Sáb,Necaxa,,Guadalajara
Sáb,Monterrey,,Tijuana
Dom,FC Juárez,,Pachuca
Dom,Querétaro,,Santos
Jue,Tijuana,,FC Juárez
Vie,Puebla,,Morelia
Vie,Atlas,,UNAM
Dom,Toluca,,León
Dom,Santos,,Atlético
Sáb,Cruz Azul,,Querétaro
Sáb,Pachuca,,Necaxa
Sáb,UANL,,Monterrey
Dom,Guadalajara,,América
Vie,Querétaro,,Atlas
Vie,Morelia,,Pachuca
Dom,Toluca,,UANL
Sáb,América,,Atlético
Sáb,Monterrey,,Cruz Azul
Sáb,León,,Tijuana
Sáb,Guadalajara,,Santos
Dom,FC Juárez,,Puebla
Dom,Necaxa,,UNAM
Jue,Atlético,,Toluca
Vie,Puebla,,Monterrey
Vie,Atlas,,León
Dom,UNAM,,Guadalajara
Dom,Querétaro,,FC Juárez
Dom,Santos,,Morelia
Sáb,Cruz Azul,,Necaxa
Sáb,UANL,,Tijuana
Sáb,Pachuca,,América
Vie,Santos,,Toluca
Vie,Tijuana,,Atlético
Dom,UNAM,,Querétaro
Dom,Guadalajara,,Puebla
Dom,FC Juárez,,Cruz Azul
Sáb,León,,UANL
Sáb,Necaxa,,Atlas
Sáb,Monterrey,,Pachuca
Dom,Morelia,,América
Vie,Necaxa,0–3,UANL
Dom,UNAM,3–2,Querétaro
Sáb,Tijuana,3–1,Atlas
Sáb,Guadalajara,0–0,León
Sáb,Cruz Azul,2–0,Santos
Lun,Atlético,1–1,FC Juárez
Lun,Pachuca,1–2,América
Lun,Mazatlán,1–4,Puebla
Mar,Monterrey,3–1,Toluca
Vie,Puebla,1–1,Cruz Azul
Vie,FC Juárez,1–0,Necaxa
Dom,Toluca,3–2,Atlético
Dom,Querétaro,1–1,Mazatlán
Sáb,UANL,1–1,Pachuca
Sáb,América,4–0,Tijuana
Dom,Santos,2–0,Guadalajara
Lun,Atlas,1–2,UNAM
Lun,León,1–0,Monterrey
Jue,Pachuca,1–0,Querétaro
Jue,Tijuana,0–0,UANL
Vie,Necaxa,1–1,América
Vie,Mazatlán,2–1,Toluca
Dom,UNAM,1–1,FC Juárez
Sáb,Cruz Azul,2–0,León
Sáb,Monterrey,2–2,Santos
Sáb,Guadalajara,0–1,Puebla
Dom,Atlético,1–1,Atlas
Mar,Necaxa,1–0,Mazatlán
Mié,Querétaro,1–0,Cruz Azul
Mar,Pachuca,0–1,León
Mar,UANL,2–1,Puebla
Mié,FC Juárez,0–2,Guadalajara
Mié,Tijuana,0–2,Atlético
Mié,UNAM,1–1,Monterrey
Jue,Atlas,1–2,Toluca
Jue,América,3–1,Santos
Sáb,Guadalajara,2–1,Atlético
Vie,Puebla,0–1,Pachuca
Dom,Toluca,3–2,UANL
Sáb,Cruz Azul,3–2,FC Juárez
Sáb,Mazatlán,0–0,UNAM
Sáb,Monterrey,1–1,Necaxa
Dom,Santos,0–0,Atlas
Dom,Querétaro,4–1,América
Lun,León,2–1,Tijuana
Sáb,Atlas,1–0,Querétaro
Vie,Necaxa,2–1,Santos
Vie,FC Juárez,0–0,León
Dom,Toluca,1–0,Guadalajara
Sáb,UANL,1–1,UNAM
Sáb,América,1–3,Monterrey
Dom,Tijuana,1–0,Puebla
Dom,Atlético,1–3,Cruz Azul
Lun,Pachuca,4–3,Mazatlán
Vie,Puebla,4–1,Toluca
Vie,Mazatlán,1–1,UANL
Dom,UNAM,3–0,Tijuana
Sáb,Guadalajara,0–0,Pachuca
Sáb,Atlético,1–2,América
Sáb,Cruz Azul,3–0,Necaxa
Dom,Santos,2–1,Querétaro
Dom,Monterrey,2–1,FC Juárez
Lun,León,2–1,Atlas
Mié,América,3–1,Mazatlán
Jue,Querétaro,4–1,Toluca
Jue,Pachuca,3–1,Atlético
Sáb,UNAM,4–1,Puebla
Vie,Tijuana,2–1,Monterrey
Vie,Necaxa,0–2,León
Vie,FC Juárez,1–1,Santos
Sáb,Atlas,1–0,Cruz Azul
Sáb,UANL,1–3,Guadalajara
Mar,Atlético,2–1,Necaxa
Mié,León,1–1,UANL
Mar,Toluca,0–1,FC Juárez
Mar,Monterrey,1–1,Atlas
Mar,Guadalajara,1–1,Querétaro
Mar,Puebla,2–3,América
Mié,Cruz Azul,1–0,Pachuca
Mié,Mazatlán,1–0,Tijuana
Mié,Santos,1–2,UNAM
Sáb,Atlas,1–1,Mazatlán
Vie,Necaxa,1–2,Guadalajara
Vie,FC Juárez,1–0,Puebla
Dom,UNAM,3–0,Atlético
Sáb,UANL,2–0,Santos
Sáb,América,1–1,Toluca
Dom,Querétaro,2–3,León
Dom,Tijuana,1–2,Cruz Azul
Lun,Pachuca,1–1,Monterrey
Sáb,Atlas,0–1,Pachuca
Vie,Necaxa,0–1,Puebla
Vie,Mazatlán,2–3,Cruz Azul
Dom,Toluca,1–2,Santos
Sáb,UANL,3–0,Querétaro
Sáb,América,1–0,Guadalajara
Dom,Atlético,1–2,Monterrey
Lun,León,2–0,UNAM
Jue,Pachuca,0–0,Toluca
Sáb,Guadalajara,2–1,Mazatlán
Vie,Puebla,3–3,Querétaro
Vie,FC Juárez,0–1,Atlas
Dom,Atlético,0–2,León
Sáb,UNAM,1–1,Necaxa
Sáb,Monterrey,0–2,UANL
Dom,Cruz Azul,0–0,América
Mié,Tijuana,2–1,FC Juárez
Sáb,Atlas,0–1,Necaxa
Vie,Puebla,0–2,Santos
Vie,León,2–1,Mazatlán
Dom,Toluca,2–0,Cruz Azul
Dom,FC Juárez,1–1,Pachuca
Sáb,UANL,3–0,Atlético
Sáb,América,2–2,UNAM
Dom,Querétaro,1–2,Monterrey
Dom,Tijuana,0–0,Guadalajara
Dom,Santos,2–0,Tijuana
Jue,Atlético,2–1,Querétaro
Sáb,Monterrey,3–1,Puebla
Vie,Necaxa,2–0,Tijuana
Vie,Mazatlán,3–2,FC Juárez
Dom,UNAM,1–0,Toluca
Sáb,Guadalajara,3–2,Atlas
Sáb,Cruz Azul,0–2,UANL
Dom,Santos,1–1,Pachuca
Lun,León,3–2,América
Sáb,Querétaro,0–1,Necaxa
Vie,Puebla,1–2,León
Dom,Toluca,2–0,Tijuana
Dom,Guadalajara,0–2,Cruz Azul
Sáb,UANL,1–1,FC Juárez
Sáb,Mazatlán,1–2,Monterrey
Sáb,América,1–0,Atlas
Dom,Santos,2–1,Atlético
Lun,Pachuca,1–1,UNAM
Jue,Atlético,0–5,Mazatlán
Sáb,Atlas,0–1,Puebla
Vie,Necaxa,3–2,Toluca
Vie,Tijuana,0–2,Pachuca
Vie,FC Juárez,1–0,Querétaro
Dom,América,3–1,UANL
Sáb,UNAM,2–2,Guadalajara
Sáb,Monterrey,1–0,Cruz Azul
Lun,León,2–1,Santos
Sáb,Guadalajara,3–1,Monterrey
Sáb,Pachuca,0–1,Necaxa
Vie,Puebla,1–0,Atlético
Vie,FC Juárez,1–1,América
Dom,Toluca,2–2,León
Sáb,UANL,1–1,Atlas
Sáb,Cruz Azul,1–2,UNAM
Dom,Santos,4–0,Mazatlán
Dom,Querétaro,2–2,Tijuana
Sáb,Santos,0–3,Pachuca
Sáb,Guadalajara,1–0,Necaxa
Dom,UANL,2–1,Toluca
Dom,Monterrey,(2) 2–2 (4),Puebla
Mié,Puebla,2–1,León
Mié,Guadalajara,1–0,América
Jue,UANL,1–3,Cruz Azul
Jue,Pachuca,0–1,UNAM
Dom,UNAM,0–0,Pachuca
Sáb,León,2–0,Puebla
Sáb,América,1–2,Guadalajara
Dom,Cruz Azul,0–1,UANL
Mié,Guadalajara,1–1,León
Jue,Cruz Azul,4–0,UNAM
Sáb,León,1–0,Guadalajara
Dom,UNAM,4–0,Cruz Azul
Jue,UNAM,1–1,León
Dom,León,2–0,UNAM
Sáb,Atlas,0–2,Monterrey
Vie,Tijuana,0–0,UNAM
Vie,Puebla,1–1,Guadalajara
Vie,Mazatlán,3–2,Necaxa
Dom,Toluca,3–1,Querétaro
Sáb,UANL,2–0,León
Sáb,América,2–1,Atlético
Dom,Santos,1–0,Cruz Azul
Lun,Pachuca,1–1,FC Juárez
Sáb,Guadalajara,1–1,Toluca
Vie,Necaxa,1–0,Atlético
Vie,FC Juárez,0–0,Tijuana
Dom,UNAM,3–0,Mazatlán
Sáb,Cruz Azul,0–1,Puebla
Sáb,Monterrey,1–0,América
Dom,Santos,2–0,UANL
Dom,Querétaro,1–0,Atlas
Lun,León,0–0,Pachuca
Jue,Atlético,3–1,Guadalajara
Vie,Puebla,0–1,Tijuana
Vie,Mazatlán,0–0,Santos
Dom,Toluca,2–0,Necaxa
Sáb,Atlas,0–2,UANL
Dom,Querétaro,2–0,UNAM
Lun,Pachuca,0–1,Cruz Azul
Mar,América,2–0,FC Juárez
Jue,UANL,1–1,Necaxa
Vie,Mazatlán,1–0,Pachuca
Dom,UNAM,0–0,Atlas
Sáb,Guadalajara,1–2,FC Juárez
Sáb,Tijuana,3–2,Toluca
Sáb,Cruz Azul,4–1,Querétaro
Dom,Santos,1–1,América
Lun,León,3–1,Atlético
Mar,Puebla,0–0,Monterrey
Jue,Atlético,2–2,Tijuana
Jue,Querétaro,3–1,Pachuca
Sáb,Atlas,1–1,Santos
Vie,Necaxa,0–2,Cruz Azul
Dom,Toluca,4–1,Mazatlán
Sáb,América,1–0,Puebla
Sáb,Monterrey,1–0,UNAM
Lun,León,1–3,Guadalajara
Vie,Tijuana,2–0,León
Vie,Puebla,4–0,FC Juárez
Vie,Mazatlán,0–3,Atlético
Dom,Toluca,1–0,UNAM
Sáb,Guadalajara,2–2,Necaxa
Sáb,América,2–1,Querétaro
Dom,Santos,1–0,Monterrey
Lun,Pachuca,0–1,Atlas
Mié,UANL,0–2,Cruz Azul
Jue,Atlético,1–0,Santos
Vie,Necaxa,1–1,Monterrey
Vie,FC Juárez,1–0,Mazatlán
Dom,UNAM,0–1,León
Dom,Querétaro,1–1,Puebla
Sáb,Cruz Azul,3–2,Toluca
Sáb,Atlas,3–0,América
Dom,UANL,3–2,Tijuana
Lun,Pachuca,1–1,Guadalajara
Jue,Atlético,2–2,UANL
Sáb,Toluca,0–0,Atlas
Vie,Puebla,1–0,Necaxa
Vie,Mazatlán,3–0,Querétaro
Dom,Monterrey,1–1,Tijuana
Sáb,América,2–0,Pachuca
Sáb,León,0–1,Cruz Azul
Dom,Santos,3–2,FC Juárez
Dom,Guadalajara,2–1,UNAM
Mar,Atlas,3–1,Atlético
Mar,UANL,0–1,Toluca
Mar,León,1–2,Puebla
Mié,FC Juárez,1–6,Monterrey
Mié,Querétaro,2–2,Guadalajara
Mié,Tijuana,0–2,América
Mié,Cruz Azul,1–0,Mazatlán
Jue,Necaxa,2–2,Pachuca
Jue,UNAM,1–0,Santos
Sáb,Atlas,2–0,FC Juárez
Vie,Atlético,0–0,Toluca
Vie,Puebla,1–1,UANL
Sáb,América,2–1,León
Sáb,Monterrey,2–1,Querétaro
Sáb,Mazatlán,1–1,Guadalajara
Dom,Santos,3–1,Necaxa
Dom,UNAM,0–1,Cruz Azul
Lun,Pachuca,2–1,Tijuana
Mié,Monterrey,1–1,León
Vie,Puebla,0–1,Atlas
Vie,FC Juárez,1–1,UNAM
Dom,Toluca,0–2,Pachuca
Sáb,UANL,1–2,Mazatlán
Sáb,Tijuana,0–1,Santos
Sáb,Cruz Azul,1–0,Monterrey
Dom,Querétaro,2–1,Atlético
Dom,Guadalajara,0–3,América
Lun,León,3–1,Necaxa
Jue,Pachuca,1–0,UANL
Sáb,Atlético,0–1,UNAM
Vie,Necaxa,1–0,FC Juárez
Vie,Mazatlán,0–1,América
Dom,Toluca,4–4,Puebla
Sáb,Cruz Azul,3–2,Atlas
Sáb,Tijuana,3–1,Querétaro
Dom,Santos,1–2,León
Sáb,Atlas,1–0,Tijuana
Vie,Puebla,3–1,Mazatlán
Vie,FC Juárez,0–1,Cruz Azul
Dom,UNAM,2–2,Pachuca
Dom,Guadalajara,1–1,Santos
Sáb,América,2–1,Necaxa
Sáb,Monterrey,2–0,Atlético
Dom,Querétaro,0–1,UANL
Dom,León,2–1,Toluca
Sáb,Atlas,1–3,León
Vie,Necaxa,0–1,UNAM
Vie,FC Juárez,2–1,Atlético
Dom,Toluca,1–2,Monterrey
Sáb,Cruz Azul,1–0,Guadalajara
Sáb,UANL,1–3,América
Dom,Querétaro,1–0,Santos
Dom,Tijuana,2–3,Mazatlán
Lun,Pachuca,1–3,Puebla
Mié,FC Juárez,2–3,UANL
Sáb,Atlético,1–4,Puebla
Vie,Necaxa,0–0,Querétaro
Vie,Mazatlán,0–0,Atlas
Dom,UNAM,0–0,UANL
Sáb,Guadalajara,2–0,Tijuana
Sáb,América,1–1,Cruz Azul
Dom,Santos,3–1,Toluca
Dom,Monterrey,0–1,Pachuca
Lun,León,2–0,FC Juárez
Mié,Monterrey,1–2,Guadalajara
Sáb,Cruz Azul,3–2,Atlético
Vie,Tijuana,1–0,Necaxa
Vie,Puebla,0–0,UNAM
Vie,Mazatlán,4–3,León
Dom,Toluca,3–1,América
Sáb,Atlas,0–1,Guadalajara
Sáb,UANL,2–1,Monterrey
Dom,Querétaro,1–0,FC Juárez
Lun,Pachuca,1–0,Santos
Jue,Atlético,1–5,Pachuca
Sáb,Guadalajara,0–0,UANL
Sáb,León,2–1,Querétaro
Vie,Necaxa,1–5,Atlas
Vie,FC Juárez,1–0,Toluca
Sáb,Cruz Azul,1–1,Tijuana
Sáb,Monterrey,1–0,Mazatlán
Dom,Santos,0–0,Puebla
Dom,UNAM,0–1,América
Sáb,Atlas,1–0,UANL
Sáb,Santos,5–0,Querétaro
Dom,León,(2) 2–2 (4),Toluca
Dom,Pachuca,4–2,Guadalajara
Mié,Toluca,2–1,Cruz Azul
Mié,Atlas,1–0,Puebla
Jue,Pachuca,3–1,América
Jue,Santos,2–1,Monterrey
Sáb,Puebla,1–0,Atlas
Dom,Monterrey,1–1,Santos
Sáb,Cruz Azul,3–1,Toluca
Dom,América,4–2,Pachuca
Mié,Pachuca,0–0,Cruz Azul
Jue,Santos,3–0,Puebla
