dayofweek,home_team,score,away_team
Sáb,Cruz Azul,1–0,Pachuca
Dom,Puebla,1–0,Santos
Jue,Santos,0–1,Cruz Azul
Dom,Cruz Azul,1–1,Santos
Jue,Querétaro,0–0,América
Sáb,Pachuca,4–0,León
Vie,Necaxa,0–3,Santos
Vie,FC Juárez,1–3,Toluca
Dom,UNAM,0–0,Atlas
Sáb,Guadalajara,1–2,Atlético
Dom,Monterrey,1–1,Puebla
Dom,Tijuana,1–2,UANL
Lun,Cruz Azul,0–2,Mazatlán
Sáb,León,2–1,Tijuana
Vie,Mazatlán,2–1,Pachuca
Vie,Puebla,0–2,Guadalajara
Dom,Toluca,3–1,UANL
Dom,Santos,1–1,Cruz Azul
Sáb,América,2–1,Necaxa
Sáb,Monterrey,2–0,UNAM
Sáb,Atlas,2–0,FC Juárez
Lun,Atlético,1–1,Querétaro
Jue,Querétaro,0–1,León
Sáb,Guadalajara,2–2,FC Juárez
Vie,Mazatlán,1–1,Monterrey
Vie,Tijuana,0–2,Toluca
Vie,Necaxa,1–2,Cruz Azul
Dom,UNAM,1–3,Atlético
Sáb,América,2–0,Puebla
Sáb,UANL,1–1,Santos
Lun,Pachuca,0–1,Atlas
Jue,Atlético,0–2,Necaxa
Sáb,UNAM,0–0,Querétaro
Vie,Puebla,1–1,UANL
Vie,FC Juárez,1–1,Tijuana
Dom,Atlas,0–1,América
Sáb,León,3–0,Mazatlán
Sáb,Cruz Azul,4–0,Toluca
Sáb,Monterrey,3–1,Pachuca
Dom,Santos,0–0,Guadalajara
Mar,Toluca,2–2,Mazatlán
Mar,UANL,3–0,Querétaro
Mar,Tijuana,1–1,Puebla
Mar,Necaxa,3–0,UNAM
Mié,Santos,1–1,Atlas
Mié,Cruz Azul,1–1,Monterrey
Mié,FC Juárez,1–2,América
Mié,Guadalajara,0–3,León
Sáb,Atlas,0–0,Toluca
Vie,Mazatlán,0–3,UANL
Dom,UNAM,2–0,Puebla
Dom,América,2–0,Tijuana
Sáb,León,1–1,Santos
Sáb,Atlético,0–0,Cruz Azul
Sáb,Monterrey,0–0,Guadalajara
Dom,Necaxa,1–0,FC Juárez
Dom,Querétaro,0–2,Pachuca
Sáb,Guadalajara,2–1,Necaxa
Vie,Mazatlán,2–2,Atlético
Vie,Tijuana,2–2,Monterrey
Vie,Puebla,1–0,Querétaro
Dom,Toluca,2–1,UNAM
Dom,Santos,2–0,FC Juárez
Sáb,UANL,1–1,Atlas
Sáb,León,1–1,América
Dom,Cruz Azul,1–1,Pachuca
Sáb,Atlas,2–1,Monterrey
Vie,Puebla,2–2,Atlético
Vie,Tijuana,2–1,Santos
Vie,FC Juárez,2–1,Cruz Azul
Dom,UNAM,0–0,Guadalajara
Sáb,UANL,2–2,León
Sáb,América,2–0,Mazatlán
Dom,Querétaro,3–0,Necaxa
Lun,Pachuca,1–2,Toluca
Jue,Atlético,4–1,Tijuana
Sáb,León,0–1,FC Juárez
Vie,Necaxa,0–3,Atlas
Sáb,Toluca,3–1,América
Sáb,Mazatlán,2–2,UNAM
Sáb,Guadalajara,1–0,Pachuca
Dom,Cruz Azul,2–0,Querétaro
Dom,Monterrey,2–0,UANL
Dom,Santos,1–1,Puebla
Mar,FC Juárez,1–0,Atlético
Mié,Monterrey,2–0,Toluca
Jue,Pachuca,1–0,Necaxa
Sáb,Atlas,2–0,León
Vie,Tijuana,0–0,Mazatlán
Vie,Puebla,1–1,Cruz Azul
Dom,Toluca,1–2,Atlético
Sáb,UANL,0–0,UNAM
Sáb,América,0–0,Guadalajara
Dom,Santos,1–2,Monterrey
Mar,Necaxa,3–0,Tijuana
Mié,Atlético,0–3,UANL
Mar,Mazatlán,3–1,FC Juárez
Mar,Atlas,0–1,Puebla
Mar,Pachuca,1–1,América
Mié,Querétaro,1–0,Guadalajara
Sáb,León,0–0,Atlético
Vie,Puebla,1–2,Pachuca
Vie,FC Juárez,3–1,Monterrey
Dom,Toluca,1–1,Querétaro
Dom,América,2–0,UNAM
Sáb,Santos,1–0,Mazatlán
Sáb,Guadalajara,0–1,Atlas
Dom,UANL,0–0,Necaxa
Dom,Tijuana,0–1,Cruz Azul
Vie,FC Juárez,0–0,Querétaro
Jue,Querétaro,1–1,Tijuana
Sáb,Monterrey,0–1,León
Vie,Necaxa,0–1,Puebla
Vie,Mazatlán,1–0,Atlas
Dom,UNAM,1–0,FC Juárez
Dom,Guadalajara,2–0,Toluca
Sáb,Atlético,0–1,América
Sáb,Pachuca,1–1,Santos
Sáb,Cruz Azul,1–1,UANL
Mar,Querétaro,1–0,Monterrey
Mar,Puebla,2–0,Mazatlán
Mar,América,2–1,Santos
Mar,Atlas,0–0,Cruz Azul
Mié,León,1–2,UNAM
Mié,Toluca,1–1,Necaxa
Mié,Tijuana,0–0,Guadalajara
Mié,UANL,3–0,Pachuca
Sáb,Puebla,0–1,León
Sáb,Monterrey,0–1,Necaxa
Vie,Mazatlán,2–1,Querétaro
Dom,UNAM,3–1,Tijuana
Sáb,América,1–0,UANL
Sáb,Guadalajara,1–1,Cruz Azul
Dom,Atlético,2–6,Atlas
Dom,Santos,2–2,Toluca
Dom,Pachuca,1–1,FC Juárez
Jue,Atlas,0–2,Tijuana
Sáb,Querétaro,2–3,Santos
Vie,Necaxa,2–1,Mazatlán
Vie,FC Juárez,0–2,Puebla
Dom,Toluca,0–0,León
Dom,Cruz Azul,2–1,América
Sáb,Pachuca,1–1,UNAM
Sáb,UANL,2–1,Guadalajara
Dom,Atlético,1–1,Monterrey
Mié,Pachuca,0–0,Atlético
Mié,Cruz Azul,0–1,León
Jue,UNAM,0–3,Santos
Jue,Atlas,2–0,Querétaro
Sáb,León,3–0,Necaxa
Vie,Puebla,1–0,Toluca
Vie,Mazatlán,0–1,Guadalajara
Dom,UNAM,4–3,Cruz Azul
Sáb,América,0–0,Monterrey
Sáb,Tijuana,3–2,Pachuca
Sáb,UANL,3–0,FC Juárez
Dom,Santos,0–0,Atlético
Dom,Toluca,1–2,UNAM
Sáb,Santos,2–0,Atlético
Sáb,Puebla,(6) 2–2 (5),Guadalajara
Dom,Cruz Azul,1–4,Monterrey
Mié,UNAM,0–0,América
Mié,Monterrey,0–0,Atlas
Jue,Puebla,2–1,León
Jue,Santos,2–1,UANL
Sáb,América,1–3,UNAM
Sáb,Atlas,1–1,Monterrey
Dom,UANL,1–0,Santos
Dom,León,2–0,Puebla
Mié,UANL,2–1,León
Jue,UNAM,0–1,Atlas
Sáb,León,2–1,UANL
Dom,Atlas,0–1,UNAM
Jue,León,3–2,Atlas
Dom,Atlas,(4) 1–0 (3),León
Jue,Atlético,0–2,Pachuca
Vie,FC Juárez,2–1,Necaxa
Vie,Puebla,1–1,América
Sáb,Monterrey,0–0,Querétaro
Sáb,Cruz Azul,2–0,Tijuana
Dom,Guadalajara,3–0,Mazatlán
Lun,UNAM,5–0,Toluca
Mié,Santos,1–1,UANL
Sáb,Atlas,1–0,Atlético
Vie,Querétaro,1–3,UNAM
Vie,Necaxa,0–4,Monterrey
Dom,Toluca,3–1,Santos
Dom,Pachuca,2–1,Guadalajara
Sáb,UANL,0–2,Puebla
Sáb,Tijuana,1–1,León
Sáb,Cruz Azul,1–0,FC Juárez
Mié,León,1–1,Atlas
Jue,Atlético,0–1,FC Juárez
Sáb,Guadalajara,1–1,Querétaro
Vie,Mazatlán,1–2,Toluca
Dom,UNAM,1–2,UANL
Sáb,León,2–1,Pachuca
Sáb,América,0–2,Atlas
Sáb,Monterrey,2–2,Cruz Azul
Dom,Santos,1–4,Necaxa
Vie,Puebla,3–1,Tijuana
Sáb,Necaxa,1–3,Pachuca
Dom,Querétaro,0–2,Puebla
Sáb,América,2–3,Atlético
Sáb,Tijuana,1–0,UNAM
Dom,Atlas,2–1,Santos
Dom,UANL,4–3,Mazatlán
Lun,León,0–1,Cruz Azul
Mié,FC Juárez,1–3,Guadalajara
Sáb,Guadalajara,1–3,UANL
Sáb,Atlético,0–1,Toluca
Vie,Mazatlán,2–0,Tijuana
Vie,Puebla,1–1,Atlas
Dom,UNAM,2–1,León
Sáb,Cruz Azul,1–2,Necaxa
Sáb,Santos,2–3,América
Lun,Pachuca,2–2,Querétaro
Mié,Mazatlán,2–1,América
Sáb,Querétaro,2–0,Mazatlán
Vie,Puebla,1–0,Monterrey
Vie,Tijuana,1–1,Necaxa
Vie,FC Juárez,0–0,Santos
Dom,América,1–3,Pachuca
Sáb,UANL,2–1,Atlético
Sáb,León,2–1,Guadalajara
Dom,Toluca,1–4,Cruz Azul
Dom,Atlas,0–0,UNAM
Jue,Pachuca,3–1,Mazatlán
Jue,Querétaro,1–1,Toluca
Sáb,Monterrey,0–2,Atlético
Vie,Necaxa,0–1,León
Vie,Tijuana,2–0,Atlas
Vie,FC Juárez,2–3,UANL
Sáb,Guadalajara,2–3,Puebla
Sáb,UNAM,0–0,América
Dom,Cruz Azul,1–2,Santos
Mar,Puebla,1–1,FC Juárez
Mar,Toluca,1–2,Tijuana
Mar,Mazatlán,0–0,Necaxa
Mar,América,1–1,Querétaro
Mar,León,0–0,Monterrey
Mié,Atlas,0–1,Pachuca
Mié,UANL,2–2,Cruz Azul
Mié,Atlético,2–2,Guadalajara
Mié,Santos,3–2,UNAM
Sáb,Querétaro,0–3,Atlas
Vie,Necaxa,0–1,Toluca
Vie,FC Juárez,0–1,León
Sáb,Monterrey,2–1,América
Sáb,Guadalajara,1–0,Santos
Sáb,Cruz Azul,1–3,Puebla
Sáb,León,0–3,UANL
Vie,Necaxa,1–0,Querétaro
Vie,FC Juárez,1–2,Atlas
Vie,Monterrey,2–1,Mazatlán
Dom,Toluca,0–3,Pachuca
Dom,Atlético,2–1,Puebla
Sáb,Cruz Azul,2–1,UNAM
Sáb,Guadalajara,0–0,América
Dom,Santos,4–0,Tijuana
Mar,Monterrey,3–0,FC Juárez
Jue,Querétaro,2–1,Atlético
Sáb,UNAM,1–3,Necaxa
Vie,Puebla,2–2,Santos
Dom,América,3–0,Toluca
Sáb,UANL,2–0,Monterrey
Sáb,Pachuca,1–0,Cruz Azul
Dom,Atlas,1–1,Guadalajara
Dom,Mazatlán,1–2,León
Dom,Tijuana,1–0,FC Juárez
Sáb,UNAM,1–1,Mazatlán
Sáb,Cruz Azul,1–0,Atlas
Vie,Atlético,1–0,Mazatlán
Dom,Toluca,2–1,Puebla
Dom,León,1–1,Querétaro
Sáb,Necaxa,0–1,América
Sáb,FC Juárez,0–1,UNAM
Dom,UANL,2–0,Tijuana
Dom,Santos,3–1,Pachuca
Mié,Toluca,2–2,Monterrey
Mié,Tijuana,1–1,Atlético
Jue,Pachuca,2–1,UANL
Jue,Atlas,2–1,Necaxa
Sáb,Atlético,2–0,León
Vie,Puebla,2–2,UNAM
Vie,Mazatlán,1–1,Cruz Azul
Sáb,Toluca,1–1,Guadalajara
Sáb,Monterrey,1–0,Santos
Sáb,América,3–0,FC Juárez
Dom,Querétaro,0–1,UANL
Lun,Pachuca,0–0,Tijuana
Mié,Guadalajara,1–3,Monterrey
Jue,Atlas,1–2,Mazatlán
Sáb,León,0–1,Puebla
Vie,Necaxa,4–2,Atlético
Vie,Tijuana,1–3,América
Vie,FC Juárez,1–2,Pachuca
Dom,UNAM,2–0,Monterrey
Sáb,Santos,1–1,Querétaro
Sáb,UANL,3–0,Toluca
Sáb,Cruz Azul,0–1,Guadalajara
Mar,Pachuca,1–0,Puebla
Mar,Necaxa,2–0,UANL
Mar,Mazatlán,1–0,Santos
Mar,Guadalajara,2–1,Tijuana
Mar,Toluca,0–1,FC Juárez
Mié,Atlético,2–0,UNAM
Mié,América,2–0,León
Mié,Monterrey,0–0,Atlas
Jue,Querétaro,0–1,Cruz Azul
Sáb,Pachuca,3–0,Monterrey
Vie,Puebla,0–1,Necaxa
Vie,FC Juárez,0–2,Mazatlán
Dom,Toluca,2–4,Atlas
Dom,Cruz Azul,0–1,Atlético
Sáb,UANL,0–2,América
Sáb,Guadalajara,3–1,UNAM
Dom,Santos,1–1,León
Dom,Tijuana,2–2,Querétaro
Sáb,Querétaro,4–0,FC Juárez
Vie,Necaxa,0–1,Guadalajara
Vie,Mazatlán,2–1,Puebla
Dom,UNAM,2–0,Pachuca
Dom,Atlético,1–3,Santos
Sáb,Atlas,1–1,UANL
Sáb,Monterrey,2–0,Tijuana
Sáb,América,0–0,Cruz Azul
Dom,León,4–4,Toluca
Sáb,Cruz Azul,(3) 1–1 (1),Necaxa
Dom,Puebla,(3) 2–2 (1),Mazatlán
Sáb,Monterrey,(1) 2–2 (3),Atlético
Dom,Guadalajara,4–1,UNAM
Mié,Atlético,2–2,Pachuca
Mié,Puebla,1–1,América
Jue,Cruz Azul,0–1,UANL
Jue,Guadalajara,1–2,Atlas
Sáb,América,3–2,Puebla
Dom,Atlas,1–1,Guadalajara
Sáb,Pachuca,3–2,Atlético
Dom,UANL,0–1,Cruz Azul
Mié,Atlas,3–0,UANL
Jue,América,1–1,Pachuca
Sáb,UANL,4–2,Atlas
Dom,Pachuca,3–0,América
Jue,Atlas,2–0,Pachuca
Dom,Pachuca,2–1,Atlas
Sáb,Necaxa,1–3,Toluca
Sáb,Guadalajara,0–0,FC Juárez
Vie,Mazatlán,2–4,Puebla
Dom,UNAM,1–1,Tijuana
Dom,Atlético,1–2,León
Sáb,UANL,2–3,Cruz Azul
Sáb,América,0–0,Atlas
Dom,Santos,4–3,Monterrey
Lun,Pachuca,2–0,Querétaro
Vie,Mazatlán,0–1,UANL
Vie,Tijuana,0–2,FC Juárez
Vie,Puebla,1–0,Santos
Dom,Toluca,3–2,Atlas
Dom,Querétaro,1–2,Necaxa
Sáb,León,3–3,UNAM
Sáb,Guadalajara,0–1,Atlético
Sáb,Monterrey,3–2,América
Sáb,Cruz Azul,1–2,Pachuca
Mié,América,1–0,Toluca
Sáb,Atlas,3–2,Cruz Azul
Vie,Puebla,1–1,León
Vie,FC Juárez,1–1,Querétaro
Dom,UNAM,1–0,Necaxa
Dom,Atlético,0–1,Monterrey
Sáb,Santos,1–1,Guadalajara
Dom,UANL,1–0,Tijuana
Lun,Pachuca,1–1,Mazatlán
Mié,Guadalajara,0–0,León
Jue,Querétaro,0–3,Monterrey
Sáb,Toluca,2–1,Santos
Vie,Mazatlán,1–1,Atlético
Vie,Necaxa,1–0,FC Juárez
Sáb,Tijuana,2–0,América
Sáb,Cruz Azul,2–2,Puebla
Sáb,UANL,2–0,Atlas
Dom,Pachuca,0–0,UNAM
Mar,FC Juárez,0–1,UANL
Mar,Monterrey,1–0,Puebla
Mar,Atlas,1–2,Tijuana
Mar,Atlético,0–0,Cruz Azul
Mar,León,0–1,Toluca
Mié,Necaxa,2–0,Pachuca
Mié,Querétaro,2–2,Guadalajara
Mié,UNAM,1–1,Mazatlán
Sáb,Cruz Azul,1–0,Necaxa
Vie,FC Juárez,1–1,Toluca
Dom,UNAM,1–1,Monterrey
Sáb,Tijuana,2–0,Mazatlán
Sáb,UANL,2–1,Querétaro
Sáb,Guadalajara,0–0,Pachuca
Sáb,Puebla,0–0,Atlético
Dom,Santos,1–0,Atlas
Dom,León,3–2,América
Mar,Toluca,1–1,Puebla
Mié,FC Juárez,1–1,Atlético
Jue,Atlas,3–1,Querétaro
Vie,Mazatlán,2–1,Guadalajara
Dom,Toluca,3–1,Tijuana
Dom,Atlético,1–2,Necaxa
Dom,Pachuca,2–0,UANL
Sáb,Monterrey,5–1,León
Sáb,Santos,4–0,Cruz Azul
Dom,América,2–1,FC Juárez
Jue,Querétaro,1–1,Atlético
Sáb,León,0–3,Mazatlán
Vie,Tijuana,3–3,Puebla
Vie,Necaxa,1–2,Monterrey
Dom,Cruz Azul,2–3,Toluca
Sáb,UNAM,0–3,América
Sáb,Guadalajara,1–1,Atlas
Dom,UANL,2–0,Santos
Mar,Mazatlán,1–1,Querétaro
Mar,Atlas,0–1,FC Juárez
Mar,Puebla,2–2,Necaxa
Mié,Toluca,1–1,Monterrey
Mié,Pachuca,0–3,América
Mié,Cruz Azul,1–2,Tijuana
Jue,Santos,2–1,León
Jue,Atlético,3–2,UNAM
Sáb,Querétaro,2–0,Tijuana
Vie,Necaxa,0–4,Guadalajara
Dom,UNAM,1–5,Santos
Dom,Atlético,1–0,Toluca
Sáb,Atlas,1–1,Puebla
Sáb,Monterrey,0–0,UANL
Sáb,FC Juárez,1–1,Mazatlán
Sáb,América,7–0,Cruz Azul
Dom,Pachuca,1–0,León
Mar,Guadalajara,1–0,Monterrey
Mar,Querétaro,0–1,América
Mié,UNAM,1–1,UANL
Jue,Pachuca,3–1,Atlas
Jue,Tijuana,0–2,Santos
Sáb,Cruz Azul,2–1,Querétaro
Vie,Puebla,2–2,FC Juárez
Vie,Mazatlán,1–3,América
Dom,Toluca,1–4,Pachuca
Sáb,UANL,0–0,Necaxa
Sáb,Guadalajara,3–1,UNAM
Dom,León,4–2,Atlas
Dom,Tijuana,0–3,Monterrey
Dom,Santos,4–1,Atlético
Jue,Atlético,0–0,Tijuana
Jue,Querétaro,1–1,Puebla
Sáb,Pachuca,2–0,Santos
Vie,Necaxa,3–2,León
Vie,FC Juárez,2–2,Cruz Azul
Dom,Toluca,0–0,Guadalajara
Sáb,Atlas,0–0,UNAM
Sáb,Monterrey,0–0,Mazatlán
Sáb,América,2–1,UANL
Mar,León,1–0,FC Juárez
Mar,Santos,3–1,Necaxa
Mar,América,3–0,Atlético
Mar,Monterrey,3–2,Cruz Azul
Mié,Puebla,2–2,Pachuca
Mié,UANL,3–1,Toluca
Mié,Tijuana,1–2,Guadalajara
Mié,Mazatlán,1–0,Atlas
Mié,UNAM,4–1,Querétaro
Sáb,Querétaro,3–3,Santos
Vie,FC Juárez,0–1,Monterrey
Dom,Cruz Azul,2–0,Mazatlán
Dom,Atlas,1–3,Atlético
Sáb,Necaxa,1–2,América
Sáb,UANL,0–1,León
Sáb,Guadalajara,1–0,Puebla
Sáb,Toluca,2–2,UNAM
Dom,Pachuca,6–1,Tijuana
Mar,Guadalajara,1–4,UANL
Mié,FC Juárez,2–1,Pachuca
Mié,América,3–3,Santos
Jue,Cruz Azul,2–1,León
Vie,Puebla,2–1,UANL
Vie,Mazatlán,1–1,Toluca
Dom,UNAM,1–2,Cruz Azul
Sáb,Monterrey,2–0,Atlas
Sáb,América,2–1,Guadalajara
Dom,Santos,2–0,FC Juárez
Dom,León,3–1,Querétaro
Dom,Tijuana,1–1,Necaxa
Dom,Atlético,1–2,Pachuca
Vie,Necaxa,2–2,Mazatlán
Vie,Puebla,2–1,UNAM
Sáb,Atlético,0–3,UANL
Sáb,Monterrey,0–0,Pachuca
Vie,Puebla,1–2,América
Vie,FC Juárez,3–1,UNAM
Dom,Toluca,4–1,Querétaro
Dom,Santos,3–0,Mazatlán
Sáb,Atlas,1–0,Necaxa
Sáb,Cruz Azul,2–1,Guadalajara
Dom,León,2–2,Tijuana
Dom,Toluca,3–0,FC Juárez
Dom,Puebla,(5) 1–1 (4),Guadalajara
Sáb,UANL,2–0,Necaxa
Sáb,Cruz Azul,1–0,León
Mié,Puebla,1–6,América
Mié,Cruz Azul,0–0,Monterrey
Jue,Toluca,4–3,Santos
Jue,UANL,1–0,Pachuca
Sáb,Monterrey,3–0,Cruz Azul
Sáb,América,5–1,Puebla
Dom,Santos,1–2,Toluca
Dom,Pachuca,2–1,UANL
Mié,Toluca,2–1,América
Jue,Pachuca,5–2,Monterrey
Sáb,América,1–1,Toluca
Dom,Monterrey,0–1,Pachuca
Jue,Toluca,1–5,Pachuca
Dom,Pachuca,3–1,Toluca
Sáb,América,0–0,Querétaro
Vie,Necaxa,2–3,Atlético
Dom,UNAM,2–1,FC Juárez
Sáb,Monterrey,0–1,Guadalajara
Dom,Santos,0–3,UANL
Dom,Tijuana,1–1,Cruz Azul
Lun,Pachuca,5–1,Puebla
Jue,Atlas,2–1,Mazatlán
Sáb,Cruz Azul,2–3,Monterrey
Vie,Atlético,0–0,Guadalajara
Vie,Puebla,2–0,Querétaro
Sáb,FC Juárez,3–0,Tijuana
Sáb,Toluca,2–2,América
Sáb,Santos,3–0,UNAM
Dom,UANL,4–1,Pachuca
Lun,León,2–1,Necaxa
Sáb,Monterrey,3–1,Atlético
Vie,Tijuana,1–1,UANL
Vie,Mazatlán,1–2,Santos
Dom,UNAM,4–1,León
Dom,Querétaro,3–3,Atlas
Sáb,América,2–2,Puebla
Sáb,Guadalajara,1–2,Toluca
Sáb,Necaxa,1–0,Cruz Azul
Dom,Pachuca,4–1,FC Juárez
Jue,Atlas,2–2,Santos
Vie,Tijuana,0–0,UNAM
Vie,Puebla,1–2,Monterrey
Dom,Toluca,0–0,León
Sáb,UANL,0–0,Atlético
Sáb,FC Juárez,1–2,Guadalajara
Sáb,América,6–0,Mazatlán
Dom,Pachuca,2–1,Necaxa
Mié,Atlas,0–0,Toluca
Jue,Atlético,2–0,Puebla
Sáb,León,0–1,Pachuca
Vie,Necaxa,1–1,Tijuana
Vie,Mazatlán,2–3,FC Juárez
Dom,UNAM,2–2,Atlas
Dom,Guadalajara,1–1,Querétaro
Sáb,Cruz Azul,0–1,UANL
Sáb,Santos,2–2,América
Dom,Monterrey,2–1,Toluca
Jue,Querétaro,0–3,León
Jue,Atlas,0–2,Monterrey
Sáb,América,2–1,Necaxa
Vie,Puebla,3–1,Mazatlán
Vie,Tijuana,1–0,Atlético
Dom,Toluca,3–1,Cruz Azul
Sáb,FC Juárez,3–1,Santos
Sáb,UANL,4–2,UNAM
Sáb,Pachuca,1–1,Guadalajara
Mar,León,2–0,Puebla
Mar,UANL,0–0,FC Juárez
Mar,Atlético,1–3,América
Mié,Guadalajara,2–1,Tijuana
Mié,Monterrey,2–0,Querétaro
Mié,Necaxa,3–1,UNAM
Jue,Mazatlán,2–3,Pachuca
Sáb,Atlético,1–1,Santos
Sáb,Monterrey,2–1,Necaxa
Vie,FC Juárez,0–0,León
Vie,Puebla,1–3,Cruz Azul
Dom,Querétaro,1–1,Mazatlán
Sáb,Atlas,0–1,UANL
Sáb,UNAM,1–2,Guadalajara
Dom,América,2–1,Tijuana
Dom,Pachuca,1–2,Toluca
Mié,Cruz Azul,1–0,Atlas
Jue,Santos,0–5,Toluca
Sáb,Cruz Azul,1–0,FC Juárez
Vie,Necaxa,1–1,Querétaro
Vie,Mazatlán,1–2,UNAM
Dom,Toluca,2–0,Atlético
Sáb,UANL,1–2,Guadalajara
Sáb,Atlas,2–2,América
Dom,Santos,3–2,Puebla
Dom,Tijuana,2–0,Pachuca
Lun,León,1–1,Monterrey
Sáb,León,2–0,Atlético
Vie,Mazatlán,3–1,Cruz Azul
Vie,Necaxa,0–1,UANL
Vie,Tijuana,1–1,Atlas
Dom,UNAM,2–4,Puebla
Sáb,América,0–3,Pachuca
Sáb,Monterrey,3–0,FC Juárez
Sáb,Guadalajara,2–0,Santos
Dom,Querétaro,1–0,Toluca
Sáb,Atlas,0–1,León
Vie,Atlético,2–0,Querétaro
Vie,Puebla,1–0,Guadalajara
Dom,Toluca,4–1,Mazatlán
Sáb,Cruz Azul,1–0,UNAM
Sáb,UANL,0–2,América
Dom,Santos,3–2,Tijuana
Dom,Pachuca,1–2,Monterrey
Dom,FC Juárez,1–1,Necaxa
Sáb,Cruz Azul,1–0,Atlético
Vie,Puebla,0–4,Atlas
Vie,Mazatlán,0–1,Necaxa
Vie,Tijuana,3–3,Toluca
Dom,UNAM,0–2,Pachuca
Sáb,UANL,0–1,Monterrey
Sáb,Guadalajara,2–4,América
Dom,Querétaro,2–2,FC Juárez
Dom,León,4–1,Santos
Vie,Mazatlán,1–2,León
Mié,Querétaro,2–2,Cruz Azul
Sáb,Pachuca,0–2,Cruz Azul
Vie,Necaxa,0–0,Santos
Vie,FC Juárez,0–2,Puebla
Dom,Toluca,3–2,UANL
Dom,Atlético,2–1,Mazatlán
Sáb,América,2–2,León
Sáb,Monterrey,4–0,Tijuana
Sáb,Atlas,3–3,Guadalajara
Dom,Querétaro,1–0,UNAM
Sáb,Guadalajara,1–0,Necaxa
Vie,Puebla,1–2,Toluca
Vie,Tijuana,1–2,Querétaro
Dom,UNAM,3–1,Atlético
Sáb,León,0–0,Cruz Azul
Sáb,UANL,1–2,Mazatlán
Sáb,América,2–1,Monterrey
Dom,Santos,1–4,Pachuca
Dom,FC Juárez,1–1,Atlas
Jue,Atlético,2–0,FC Juárez
Sáb,Atlas,4–1,Pachuca
Vie,Necaxa,1–1,Puebla
Vie,Mazatlán,1–2,Tijuana
Dom,UNAM,3–1,Toluca
Dom,Querétaro,0–0,UANL
Sáb,León,0–2,Guadalajara
Sáb,Cruz Azul,1–3,América
Dom,Monterrey,1–2,Santos
Jue,UANL,1–0,Puebla
Sáb,Pachuca,2–1,Atlético
Vie,Mazatlán,0–2,Monterrey
Vie,Necaxa,1–3,Atlas
Vie,Tijuana,0–0,León
Dom,Toluca,1–1,FC Juárez
Sáb,Guadalajara,2–1,Cruz Azul
Sáb,América,1–1,UNAM
Dom,Santos,0–2,Querétaro
Sáb,Puebla,5–2,Tijuana
Vie,FC Juárez,0–1,América
Dom,Toluca,3–0,Necaxa
Dom,Querétaro,0–1,Pachuca
Sáb,Atlético,0–0,Atlas
Sáb,Guadalajara,4–1,Mazatlán
Sáb,Monterrey,4–1,UNAM
Sáb,Cruz Azul,3–2,Santos
Dom,León,3–0,UANL
